Started,Ended,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
2023,Ongoing,Sudanese civil war\nPart of the\nSudanese Civil\nWars,Transitional\nSovereignty Council\nSudanese Armed\nForces\nPDF[88]\nPopular Resistance\nAl-Bara Battalion\nAWB\nSPLM-N (Agar)[89]\nJEM[90]\nSLM (Minnawi)\nSLM (Tambour)\n(from August 2023)\nJoint Darfur Force (from\nNovember 2023)\nForeign Support\nUkraine[91]\nTurkey[92],Government of Peace\nand Unity (from April 2025) [93]\nRapid Support\nForces\nNon-RSF Janjaweed\nmilitias\nSPLM-N (al-Hilu)\n[94]\n(from February 2025)\nTamazuj (from August 2023)\nForeign Support\nLibyan National Army[95]\nUnited Arab Emirates[96]\nWagner Group[97]\nSLM (al-Nur)[98]\nSPLM-N (al-Hilu) (June\n2023 – February 2025),,https://en.wikipedia.org/wiki/Sudanese_civil_war_(2023%E2%80%93present),https://en.wikipedia.org/wiki/Sudanese_Civil_War
2023,2023,Wagner Group\nrebellion\n,PMC Wagner,Russia\nMinistry of Defense\nArmed Forces\nFSB\nNational Guard\nKadyrovites,Wagner–\nMoD conflict during\nthe Russian\ninvasion of Ukraine,https://en.wikipedia.org/wiki/Wagner_Group_rebellion,https://en.wikipedia.org/wiki/Wagner_Group_rebellion
2023,2023,2023 Azerbaijani\noffensive in,Azerbaijan[i],Artsakh[j],,https://en.wikipedia.org/wiki/2023_Azerbaijani_offensive_in_Nagorno-Karabakh,https://en.wikipedia.org/wiki/2023_Azerbaijani_offensive_in_Nagorno-Karabakh
,,Nagorno-Karabakh\nPart of the\nNagorno-Karabakh\nconflict,,,,https://en.wikipedia.org/wiki/2023_Azerbaijani_offensive_in_Nagorno-Karabakh,https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict
2023,Ongoing,Gaza war\n,Israel[k]\nIsraeli allies:\nPopular Forces[l][m],Hamas\nPalestinian allies:\nPalestinian Islamic Jihad\nPopular Front for the\nLiberation of Palestine\nDemocratic Front for the\nLiberation of Palestine\nAl-Aqsa Martyrs' Brigades\nPalestinian Mujahideen\nMovement\nPalestinian Freedom\nMovement\nPopular Resistance\nCommittees\nPopular Front for the\nLiberation of Palestine –\nGeneral Command\nAbdul al-Qadir al-\nHusseini Brigades\nJaysh al-Ummah,"Gaza–\nIsrael conflict, the\nIsraeli–Palestinian\nconflict, and the\nMiddle Eastern\ncrisis",https://en.wikipedia.org/wiki/Gaza_war,https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict
2023,Ongoing,"Israel–Hezbollah\nconflict\nPart of the\nHezbollah–Israel\nconflict, the Middle\nEastern crisis and\nthe Iran–Israel\nconflict during the\nSyrian civil war",Israel,Hezbollah[101]\nAllies:\nAmal[102]\nIslamic Group[103]\nSSNP-L\nHamas[104]\nPIJ[105]\nPopular Resistance\nCommittees[106]\nPopular Front for the\nLiberation of Palestine[107]\nIslamic Resistance in\nIraq\nHouthis[108]\nIran\nSyria\n(until 2024)\nIslamic Azz Brigades[101],,https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present),https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)
2023,2024,Attacks on US\nbases during the\nGaza war\n,United States\nUnited Kingdom[109]\nSupported by:\nJordan[110]\nSyrian Democratic\nForces\nAl-Tanf Garrison[111],Iran\nBa'athist Syria (until\n2024)[112]\nProxies\nIslamic Resistance in Iraq\nSyrian Hezbollah[113]\nLiwa Fatemiyoun[114]\nPopular Mobilization\nForces[115],"Iran–\nIsrael proxy conflict,\nthe Middle Eastern\ncrisis, the Syrian\nopposition\noffensives, and the\nEastern Syria\ninsurgency in the\nSyrian civil war",https://en.wikipedia.org/wiki/Attacks_on_US_bases_during_the_Gaza_war,https://en.wikipedia.org/wiki/Attacks_on_US_bases_during_the_Gaza_war
2024,Ongoing,Ecuadorian conflict\nPart of the\nEcuadorian security\ncrisis and the war\non drugs,Government of Ecuador,"Organized crime groups,\nnotably Los Choneros",,https://en.wikipedia.org/wiki/Ecuadorian_conflict_(2024%E2%80%93present),https://en.wikipedia.org/wiki/Ecuadorian_security_crisis
2024,2024,2024 Iran–Pakistan\nborder skirmishes\nPart of the\ninsurgency in\nBalochistan and\nSistan and\nBaluchestan\ninsurgency,Iran\nClaimed by Pakistan:\nBaloch Nationalists:\nBalochistan Liberation\nArmy\nBalochistan Liberation\nFront,Pakistan\nClaimed by Iran:\nIslamists:\nJaish ul-Adl,,https://en.wikipedia.org/wiki/2024_Iran%E2%80%93Pakistan_border_skirmishes,https://en.wikipedia.org/wiki/2024_Iran%E2%80%93Pakistan_border_skirmishes
2024,2025,Kursk offensive\nPart of attacks in\nRussia during the\nRussian invasion of\nUkraine,Russia\nNorth Korea[n],Ukraine,,https://en.wikipedia.org/wiki/Kursk_offensive_(2024%E2%80%932025),https://en.wikipedia.org/wiki/Attacks_in_Russia_during_the_Russian_invasion_of_Ukraine
2024,Ongoing,Hamas–Popular\nForces conflict\n,Popular Forces\nIsrael\nSupported by:\nPalestinian Authority\n(denied by the PA)[117],Hamas,Gaza\nwar,https://en.wikipedia.org/wiki/Hamas%E2%80%93Popular_Forces_conflict,https://en.wikipedia.org/wiki/Hamas%E2%80%93Popular_Forces_conflict
2024,2024,2024 Israeli\ninvasion of Lebanon\n,Israel,Hezbollah\nAllies:\nAmal Movement[118]\nIslamic Group[119]\nSSNP-L[120]\nHouthi movement[121]\nPopular Front for the\nLiberation of Palestine[122]\nPalestinian Islamic\nJihad[123]\nIslamic Resistance in\nIraq[124]\nLebanon[o][125]\n[p]\nUNIFIL,"Israel–\nHezbollah conflict,\nthe Middle Eastern\ncrisis and the\nIsraeli–Lebanese\nconflict",https://en.wikipedia.org/wiki/2024_Israeli_invasion_of_Lebanon,https://en.wikipedia.org/wiki/2024_Israeli_invasion_of_Lebanon
,,nan,nan,nan,,,
2024,2024,2024 Syrian\nopposition\noffensives\n,Syrian Opposition\nSyrian Salvation\nGovernment\nSyrian Interim\nGovernment\nJaysh al-Izza\nTurkistan Islamic\nParty in Syria[127]\nJama'at Ansar al-\nIslam[128]\nAjnad al-\nKavkaz[129]\nImam Bukhari\nJamaat[130]\nAnsar al-\nTawhid[130]\nBurkan al-Furat[131]\nSouthern\nOperations\nRoom[132][133]\nSyrian Free Army\nSuqour al-Sham\nBrigades[134],Syrian Government\nIran[135]\nRussia[136][137]\nHezbollah[138]\nDAANES\nCJTF–OIR\nUnited States[q],Syrian\ncivil war,https://en.wikipedia.org/wiki/2024_Syrian_opposition_offensives,https://en.wikipedia.org/wiki/2024_Syrian_opposition_offensives
2024,2026,Israeli invasion of\nSyria,Israel,Syria[139]\nPalestinian militants[140]\nAssad loyalists,,https://en.wikipedia.org/wiki/Israeli_invasion_of_Syria_(2024%E2%80%93present),https://en.wikipedia.org/wiki/Israeli_invasion_of_Syria_(2024%E2%80%93present)
2024,Ongoing,Jubaland crisis,Jubaland\nSupported by:\nEthiopia[141],Somalia\nSupported by:\nTurkey[142],,https://en.wikipedia.org/wiki/Jubaland_crisis,
2024,Ongoing,Assadist Insurgency\nin Syria,Syria[r]\nSaraya Ansar al-\nSunnah[143],Assadist Insurgents:\nSyrian Popular\nResistance[144]\nMilitary Council for\nthe Liberation of\nSyria[145]\nCoastal Shield\nBrigade[146]\nRijal al Nour[147]\nHezbollah[148]\nEastern Lebanese\ntribes[149]\nSupported by:\nIran (alleged)[150],,https://en.wikipedia.org/wiki/Western_Syria_clashes,https://en.wikipedia.org/wiki/Western_Syria_clashes
2025,2025,2025 Goma\noffensive and others\n,Congo River Alliance\nMarch 23 Movement\nRwanda,DR Congo\nSADC\nUnited Nations,M23\ncampaign,https://en.wikipedia.org/wiki/2025_Goma_offensive,https://en.wikipedia.org/wiki/2025_Goma_offensive
2025,2025,2025 Nasir clashes\nPart of the\naftermath of the\nSouth Sudanese\nCivil War,Nuer White Army,South Sudan\nUganda (9 March–1\nApril)\nUNMISS,,https://en.wikipedia.org/wiki/2025_Nasir_clashes,https://en.wikipedia.org/wiki/South_Sudanese_Civil_War
2025,2025,2025 India–\nPakistan conflict,India,Pakistan,,https://en.wikipedia.org/wiki/2025_India%E2%80%93Pakistan_conflict,https://en.wikipedia.org/wiki/2025_India%E2%80%93Pakistan_conflict
,,,,,"India–\nPakistani wars and\nconflicts, 2025\nIndia–Pakistan\ncrisis, insurgency in\nJammu and\nKashmir, and the\nKashmir conflict",https://en.wikipedia.org/wiki/India-Pakistan_wars_and_conflicts,https://en.wikipedia.org/wiki/India-Pakistan_wars_and_conflicts
2025,2025,2025 Tripoli clashes\n,Government of National\nUnity\n444th Infantry Brigade,Stability Support\nApparatus\nLibya Shield Force\nSpecial Deterrence\nForces,Libyan\ncrisis,https://en.wikipedia.org/wiki/2025_Tripoli_clashes,https://en.wikipedia.org/wiki/Libyan_crisis_(2011%E2%80%93present)
2025,2025,2025 Cambodian–\nThai border crisis,Thailand,Cambodia,,https://en.wikipedia.org/wiki/2025_Cambodian%E2%80%93Thai_border_crisis,https://en.wikipedia.org/wiki/2025_Cambodian%E2%80%93Thai_border_crisis
2025,2025,Twelve-Day War\n,Israel\nUnited States,Iran\nHouthis\nIslamic Resistance in\nIraq,Iran–\nIsrael conflict,https://en.wikipedia.org/wiki/Twelve-Day_War,
2025,Ongoing,Southern Syria\nclashes,Druze armed groups\nIsrael,Syria,,https://en.wikipedia.org/wiki/Southern_Syria_clashes_(July_2025%E2%80%93present),https://en.wikipedia.org/wiki/Southern_Syria_clashes_(July_2025%E2%80%93present)
2025,Ongoing,Operation Southern\nSpear,United States,Venezuela\nCartel of the Suns\n(alleged)\nTren de Aragua (alleged)\nNational Liberation Army\n(alleged),,https://en.wikipedia.org/wiki/Operation_Southern_Spear,https://en.wikipedia.org/wiki/Operation_Southern_Spear
2025,2025,2025 Afghanistan–\nPakistan conflict,Afghanistan,Pakistan,,https://en.wikipedia.org/wiki/2025_Afghanistan%E2%80%93Pakistan_conflict,https://en.wikipedia.org/wiki/2025_Afghanistan%E2%80%93Pakistan_conflict
2025,2026,Jonglei clashes,SPLA-IO\nSPLA-IO Kit-\nGwang\nSSOA defectors\nNuer White Army,South Sudan\nSSPDF\nAgwelek forces,,https://en.wikipedia.org/wiki/Jonglei_clashes_(2025-present),
2026,2026,2026 Afghanistan–\nPakistan war\nPart of the\nAfghanistan-\nPakistan clashes,Pakistan,Afghanistan\nPakistani Taliban,,https://en.wikipedia.org/wiki/2026_Afghanistan%E2%80%93Pakistan_war,https://en.wikipedia.org/wiki/2026_Afghanistan%E2%80%93Pakistan_war
2026,2026,2026 Iran war,Israel\nUnited States\nBahrain\nKuwait\nOman\nQatar\nUnited Arab Emirates\nJordan\nSaudi Arabia\nIraq\nAkrotiri and Dhekelia,Iran\nPopular Mobilization\nForces\nHezbollah\nHouthis,,https://en.wikipedia.org/wiki/2026_Iran_war,
2026,2026,2026 Lebanon war,Israel\nLebanon,Hezbollah,,https://en.wikipedia.org/wiki/2026_Lebanon_war,
,,,UNIFIL,,,,
