Start,Finish,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1807,1814,"Peninsular War
","Portugal
United Kingdom
Spain",France,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Peninsular_War,https://en.wikipedia.org/wiki/Napoleonic_Wars
1807,1818,"Mtetwa Empire
Expansion",Mthethwa Paramountcy,Other Tribes,,https://en.wikipedia.org/wiki/Mthethwa_Paramountcy,https://en.wikipedia.org/wiki/Mthethwa_Paramountcy
1807,1842,"New Zealand Musket
Wars",Māori,Māori,,https://en.wikipedia.org/wiki/Musket_Wars,https://en.wikipedia.org/wiki/Musket_Wars
1807,1808,"Ottoman coups of
1807–08",Pro-reform factions,"Anti-reform factions
Janissaries",,https://en.wikipedia.org/wiki/Ottoman_coups_of_1807%E2%80%9308,https://en.wikipedia.org/wiki/Ottoman_coups_of_1807%E2%80%9308
1808,1810,Rum Rebellion,United Kingdom,New South Wales Corps,,https://en.wikipedia.org/wiki/Rum_Rebellion,
1808,1809,Finnish War,Russian Empire,Sweden,,https://en.wikipedia.org/wiki/Finnish_War,
1808,1809,"Spanish reconquest of
Santo Domingo
","Spain
Santo Domingo
British Empire",France,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Spanish_reconquest_of_Santo_Domingo,https://en.wikipedia.org/wiki/Spanish_reconquest_of_Santo_Domingo
1808,1809,"Dano-Swedish War of
1808–1809
","Denmark–Norway
France","Sweden
United Kingdom","Napoleonic
Wars",https://en.wikipedia.org/wiki/Dano-Swedish_War_of_1808%E2%80%931809,https://en.wikipedia.org/wiki/Dano-Swedish_War_of_1808%E2%80%931809
1808,1809,Travancore Rebellion,British Empire,"Travancore
Kingdom of Cochin",,https://en.wikipedia.org/wiki/Travancore_rebellion,
1809,1809,Gurkha-Sikh War,Sikh Empire,Nepal,,https://en.wikipedia.org/wiki/Gurkha-Sikh_War,
1809,1809,"Persian Gulf campaign
of 1809","United Kingdom
East India Company",Al Qasimi,,https://en.wikipedia.org/wiki/Persian_Gulf_campaign_of_1809,https://en.wikipedia.org/wiki/Persian_Gulf_campaign_of_1809
1809,1809,Coup of 1809,Men of 1809,Sweden,,https://en.wikipedia.org/wiki/Coup_of_1809,
1809,1809,"War of the Fifth
Coalition
","France
Duchy of Warsaw
Confederation of the
Rhine
Kingdom of Bavaria
Saxony
Württemberg
Westphalia
Italy
Naples
Swiss Confederation","Austria
Tyrol
Hungary
United Kingdom
Black Brunswickers
Sardinia
Sicily","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Fifth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Fifth_Coalition
,,,Holland,,,,
1809,1809,"1809 Gottscheer
Rebellion",France,Gottschee peasants,,https://en.wikipedia.org/wiki/1809_Gottscheer_Rebellion,https://en.wikipedia.org/wiki/1809_Gottscheer_Rebellion
1809,1809,"Tyrol Rebellion
","Kingdom of Bavaria
First French Empire
Kingdom of Italy","Austrian Empire
Tyrolean Rebels","Napoleonic
Wars",https://en.wikipedia.org/wiki/Tyrol_Rebellion,https://en.wikipedia.org/wiki/Napoleonic_Wars
1809,1812,"Quito Revolution
(1809-1812)
",Spain,Rebels,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Quito_Revolution_(1809-1812),https://en.wikipedia.org/wiki/Quito_Revolution_(1809-1812)
1809,1812,"Burmese–Siamese
War (1809–1812)",Siam,Burmese Empire,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1809%E2%80%931812),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1809%E2%80%931812)
1809,1825,"Bolivian War of
Independence
",Bolivia,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Bolivian_War_of_Independence,https://en.wikipedia.org/wiki/Bolivian_War_of_Independence
Start,Finish,Name of conflict,Belligerents,,,,
,,,Victorious party (if applicable),Defeated party (if applicable),,,
1810,1818,"Argentine War of
Independence
","United Provinces of the Río
de la Plata
Chile",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Argentine_War_of_Independence,https://en.wikipedia.org/wiki/Argentine_War_of_Independence
1810,1825,"Colombian War of
Independence
",Gran Colombia,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Colombian_War_of_Independence,https://en.wikipedia.org/wiki/Colombian_War_of_Independence
1810,1811,"Tecumseh's War
","United States
Chief Black Hoof",Tecumseh's Confederacy,"War of
1812",https://en.wikipedia.org/wiki/Tecumseh's_War,https://en.wikipedia.org/wiki/War_of_1812
1810,1810,"US occupation of West
Florida",United States,Spain,,https://en.wikipedia.org/wiki/West_Florida_Controversy,https://en.wikipedia.org/wiki/West_Florida_Controversy
1810,1820,Punjab War,Sikh Empire,"British East India
Company
British Empire",,,
1810,1826,"Chilean War of
Independence
","Chile
United Provinces of the
Río de la Plata","Spain
Mapuche allies","Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Chilean_War_of_Independence,https://en.wikipedia.org/wiki/Chilean_War_of_Independence
1810,1810,Conquest of Hawaii,Kingdom of Hawaii,Other Hawaiian Tribes,,https://en.wikipedia.org/wiki/Kamehameha_I#Unification_of_Hawai%CA%BBi,
1810,1818,Amadu's Jihad,Forces of Seku Amadu,Bamana Empire,,https://en.wikipedia.org/wiki/Seku_Amadu#Jihad,
1810,1821,"Mexican War of
Independence
",Mexican Army,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Mexican_War_of_Independence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence
1811,1812,"Cambodian rebellion
(1811–12)","Cambodian pro-Siamese
faction
Rattanakosin Kingdom
(Siam)","Cambodian pro-
Vietnamese faction
Nguyễn dynasty (Vietnam)",,https://en.wikipedia.org/wiki/Cambodian_rebellion_(1811%E2%80%9312),https://en.wikipedia.org/wiki/Cambodian_rebellion_(1811%E2%80%9312)
1811,1811,Battle of Khakeekera,"Bahrain
Kuwait",Diriyah,,https://en.wikipedia.org/wiki/Battle_of_Khakeekera,
1811,1811,"1811 German Coast
uprising",United States,Rebel Slaves,,https://en.wikipedia.org/wiki/1811_German_Coast_uprising,https://en.wikipedia.org/wiki/1811_German_Coast_uprising
1811,1811,"Invasion of Java
(1811)",British East India Company,France,,https://en.wikipedia.org/wiki/Invasion_of_Java_(1811),https://en.wikipedia.org/wiki/Invasion_of_Java_(1811)
1811,1811,Tonquin incident,United States,Tla-o-qui-aht,,https://en.wikipedia.org/wiki/Tonquin_(1807_ship),
1811,1812,Fourth Xhosa War,Cape Colony,Xhosa Tribes,,https://en.wikipedia.org/wiki/Xhosa_Wars#Fourth_War_(1811%E2%80%9312),
,,,,,,,
1811,1811,Ga–Fante War,"Fante Confederacy
Akwapim Tribes
Akim Tribes","Ashanti Empire
Ga Tribes
British Empire
Dutch Empire",,https://en.wikipedia.org/wiki/Ga%E2%80%93Fante_War,
1811,1815,Arakanese Uprising[5],Burmese Empire,Rohingya Insurgents,,,
1811,1811,"Battle of Las Piedras
","Forces of José Gervasio
Artigas",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Battle_of_Las_Piedras_(1811),https://en.wikipedia.org/wiki/Spanish_American_wars_of_independence
1811,1812,Cambodian Rebellion,"Viet Nam
Kingdom of Cambodia","Forces of Khmer
Pretender Ang Snguon
Siam",,https://en.wikipedia.org/wiki/Cambodian_Rebellion_(1811%E2%80%9312),
1811,1811,Paraguayan Revolt,Paraguay,Viceroyalty of Peru,,https://en.wikipedia.org/wiki/Paraguayan_Revolt,
1811,1818,Wahhabi War,Ottoman Empire,First Saudi State,,https://en.wikipedia.org/wiki/Wahhabi_War,
1811,1823,"Venezuelan War of
Independence
","Venezuela
Gran Colombia
British Empire
New Granada",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Venezuelan_War_of_Independence,https://en.wikipedia.org/wiki/Venezuelan_War_of_Independence
1811,1826,"Peruvian War of
Independence
","Peru
United Provinces of the Río
de la Plata
Gran Colombia
Chile
British Empire",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Peruvian_War_of_Independence,https://en.wikipedia.org/wiki/Peruvian_War_of_Independence
1812,1812,Battle of Shela,Lamu,"Mombasa
Pate",,https://en.wikipedia.org/wiki/Battle_of_Shela,
1812,1812,"Hong Gyeong-Rae's
Rebellion",Joseon dynasty,"Forces loyal to Hong Gyeong-
nae",,https://en.wikipedia.org/wiki/Hong_Gyeong-Rae's_Rebellion,https://en.wikipedia.org/wiki/Hong_Gyeong-Rae's_Rebellion
1812,1812,Aponte conspiracy,Spain,Slaves,,https://en.wikipedia.org/wiki/Aponte_conspiracy,
1812,1812,"French invasion of
Russia
",Russian Empire,"France
Duchy of Warsaw
Italy
Naples
Confederation of the Rhine
Baden
Bavaria
Berg
Saxony
Westphalia
Spain
Swiss Confederation","Napoleonic
Wars",https://en.wikipedia.org/wiki/French_invasion_of_Russia,https://en.wikipedia.org/wiki/French_invasion_of_Russia
,,,,"Allies:
Austria
Prussia",,,
1812,1814,"War of the Sixth
Coalition
","Original Coalition:
Russian Empire
Kingdom of Prussia
Austrian Empire
Sweden
United Kingdom of Great
Britain and Ireland
Spain
Kingdom of Portugal
Sicily
Kingdom of Sardinia
After Battle of Leipzig:
Kingdom of Saxony
Kingdom of Bavaria
Württemberg","France
Kingdom of Italy
(Napoleonic)
Duchy of Warsaw
Naples
Until January 1814
Denmark–Norway
Swiss Confederation
Confederation of the Rhine
(Many member states defected after
Battle of Leipzig)","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition
1812,1815,War of 1812,"British Empire
United States
United States","British Empire
United States
United States",,https://en.wikipedia.org/wiki/War_of_1812,
1812,1821,Pemmican War,"North West Company
Métis","Hudson's Bay Company
Selkirk's settlers",,https://en.wikipedia.org/wiki/Pemmican_War,
1813,1813,"Eight Trigrams uprising
of 1813",Qing dynasty,Eight Trigram Sect,,https://en.wikipedia.org/wiki/Eight_Trigrams_uprising_of_1813,https://en.wikipedia.org/wiki/Eight_Trigrams_uprising_of_1813
1813,1837,Afghan-Sikh Wars,Sikh Empire,"Durrani Empire
Emirate of Afghanistan",,https://en.wikipedia.org/wiki/Afghan-Sikh_Wars,
1813,1814,Creek War,"United States
Lower Creeks
Cherokees
Choctaws","""Red Sticks"" (Creek Indians)",,https://en.wikipedia.org/wiki/Creek_War,
1813,1813,Peoria War,United States,"Kickapoo Nation
Potawatomi Nation",,https://en.wikipedia.org/wiki/Peoria_War,
1814,1814,"Brazilian slave revolt of
1814",Colonial Brazil,Rebels,,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1814,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1814
1814,1814,"Swedish–Norwegian
War
",Sweden,Norway,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Swedish%E2%80%93Norwegian_War_(1814),https://en.wikipedia.org/wiki/Swedish%E2%80%93Norwegian_War_(1814)
1814,1816,Anglo-Nepalese War,"British East India Company
Forces of the Chogyal",Nepal,,https://en.wikipedia.org/wiki/Anglo-Nepalese_War,
1814,1816,"Ashanti–Akim–
Akwapim War",Ashanti Empire,"Akwapim Tribes
Akim Tribes",,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Akim%E2%80%93Akwapim_War,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Akim%E2%80%93Akwapim_War
,,,,,,,
1814,1814,"Hadži Prodan's Revolt
",Ottoman Empire,"Forces of Hadži Prodan
Gligorijevic","Serbian
Revolution",https://en.wikipedia.org/wiki/Had%C5%BEi_Prodan's_Revolt,https://en.wikipedia.org/wiki/Serbian_Revolution
1814,1880,Argentine Civil Wars,"Federalists
Blancos","Unitarios
Colorados",,https://en.wikipedia.org/wiki/Argentine_Civil_Wars,
1815,1815,"Slachter's Nek
Rebellion",United Kingdom,Boer Rebels,,https://en.wikipedia.org/wiki/Slachter's_Nek_Rebellion,https://en.wikipedia.org/wiki/Slachter's_Nek_Rebellion
1815,1815,Second Barbary War,"United States
United Kingdom of the
Netherlands
United Kingdom (from
1815)","Barbary States
Ottoman Empire",,https://en.wikipedia.org/wiki/Second_Barbary_War,
1815,1815,Second Kandyan War,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/Second_Kandyan_War,
1815,1815,"Hundred Days
War of the Seventh
Coalition","United Kingdom
Kingdom of Prussia
Kingdom of France
Kingdom of Hanover
German Confederation
Austrian Empire
Russian Empire
Sweden
Netherlands
Spain
Kingdom of Portugal
Kingdom of Sardinia
Kingdom of the Two
Sicilies
Grand Duchy of
Tuscany","First French Empire
Napoleonic Kingdom
of Naples",,https://en.wikipedia.org/wiki/Hundred_Days,
1815,1815,"Neapolitan War
","Austrian Empire
Kingdom of the Two
Sicilies
Grand Duchy of
Tuscany
United Kingdom","Napoleonic Kingdom of
Naples","Hundred
Days",https://en.wikipedia.org/wiki/Neapolitan_War,
1815,1815,Temne-Susu War[6],Kingdom of Koya,Susu Tribes,,,
1815,1816,"Spanish reconquest of
New Granada
",Spanish Empire,"United Provinces of New
Granada","Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Spanish_reconquest_of_New_Granada,https://en.wikipedia.org/wiki/Spanish_reconquest_of_New_Granada
1815,1817,"Second Serbian
Uprising
",Principality of Serbia,Ottoman Empire,"Serbian
Revolution",https://en.wikipedia.org/wiki/Second_Serbian_Uprising,https://en.wikipedia.org/wiki/Second_Serbian_Uprising
,,,,,,,
1816,1816,Bussa's Rebellion,British Empire,Barbadian slaves,,https://en.wikipedia.org/wiki/Bussa's_Rebellion,
1816,1816,"Bombardment of
Algiers",British Empire,"Ottoman Empire
Algiers",,https://en.wikipedia.org/wiki/Bombardment_of_Algiers_(1816),https://en.wikipedia.org/wiki/Bombardment_of_Algiers_(1816)
1816,1820,"Luso-Brazilian
conquest of the Banda
Oriental","United Kingdom of Portugal,
Brazil and the Algarves",Federal League,,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Banda_Oriental,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Banda_Oriental
1816,1857,Afaqi Khoja revolts,Qing dynasty,"Aq Taghlik Khojas
Supported by: Kokand
Khanate",,https://en.wikipedia.org/wiki/Afaqi_Khoja_revolts,
1817,1817,Pernambucan Revolt,"United Kingdom of Portugal,
Brazil and the Algarves",Pernambuco rebels,,https://en.wikipedia.org/wiki/Pernambucan_Revolt,
1817,1817,Pentrich rising,British Empire,Tax resisters,,https://en.wikipedia.org/wiki/Pentrich_rising,
1817,1818,"Third Anglo-Maratha
War",British East India Company,Maratha Confederacy,,https://en.wikipedia.org/wiki/Third_Anglo-Maratha_War,https://en.wikipedia.org/wiki/Third_Anglo-Maratha_War
1817,1818,"First Seminole War
",United States,Seminole Tribes,"Seminole
Wars",https://en.wikipedia.org/wiki/First_Seminole_War,https://en.wikipedia.org/wiki/Seminole_Wars
1817,1818,Uva Rebellion,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/Uva_Rebellion,
1817,1819,Ndwandwe–Zulu War,Forces of Shaka Zulu,Forces of King Zwide,,https://en.wikipedia.org/wiki/Ndwandwe%E2%80%93Zulu_War,
1817,1826,"Burmese invasions of
Assam",Burmese Empire,"Kingdom of Ahom
Kingdom of Manipur",,https://en.wikipedia.org/wiki/Burmese_invasions_of_Assam,https://en.wikipedia.org/wiki/Burmese_invasions_of_Assam
