Start,End,Name of Conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1937,1945,"Second Sino-Japanese War
Part of World War II","Republic of China
Soviet Union (1937–
1941; 1944–1945)
United States","Empire of Japan
Reorganized National
Government of China
Manchukuo",,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War,https://en.wikipedia.org/wiki/World_War_II,2295875.0
1932,1932,Emu War,Emus,Australia,,https://en.wikipedia.org/wiki/Emu_War,,1686653.0
1927,1950,Chinese Civil War,"Chinese Communist Party
After 1949:
People's Republic of
China","Nationalist Party of China
Republic of China
After 1949:
Republic of China on Taiwan",,https://en.wikipedia.org/wiki/Chinese_Civil_War,,1569753.0
1939,1940,"Winter War
Part of World War II",Soviet Union,Finland,,https://en.wikipedia.org/wiki/Winter_War,https://en.wikipedia.org/wiki/World_War_II,1508143.0
1915,1916,"Gallipoli campaign
Part of World War I",Ottoman Empire,"United Kingdom
France",,https://en.wikipedia.org/wiki/Gallipoli_campaign,,1500574.0
1917,1922,Russian Civil War,"Victorious in Russia, Ukraine,
Georgia, Armenia, Azerbaijan,
Kazakhstan, and Mongolia:
Russian SFSR
Other Soviet republics
Mongolian People's Party
Victorious in their
respective countries:
Kingdom of Finland
Republic of Estonia
Republic of Latvia
Republic of Lithuania
Second Polish Republic","White Movement
Central Powers (until
1918):
Austro-Hungarian
Empire
German Empire
Ottoman Empire
Allied Forces (from
1918):
Czechoslovakia
Republic of China
France
Kingdom of Greece
Kingdom of Italy
Empire of Japan
Poland
Kingdom of
Romania
Kingdom of Serbia
United Kingdom
Australia
Canada
United States
Other combatants:
Revolutionary
Insurrectionary Army of
Ukraine
Ukrainian People's
Republic
Democratic
Republic of Georgia
Democratic
Republic of Armenia
Various pro-
independence
movements",,https://en.wikipedia.org/wiki/Russian_Civil_War,,1442922.0
1904,1905,Russo-Japanese War,Empire of Japan,Russian Empire,,https://en.wikipedia.org/wiki/Russo-Japanese_War,,1356529.0
1917,1917,"October Revolution
Part of Russian Civil War",Bolsheviks,"Russian Provisional
Government",,https://en.wikipedia.org/wiki/October_Revolution,,1152651.0
1919,1921,Irish War of Independence,Irish Republic,United Kingdom,,https://en.wikipedia.org/wiki/Irish_War_of_Independence,,1119521.0
1923,1923,Beer Hall Putsch,Weimar Republic,Nazi Party,,https://en.wikipedia.org/wiki/Beer_Hall_Putsch,,1092696.0
1910,1920,Mexican Revolution,"Maderistas
Orozquistas
Villistas
Zapatistas
Carrancistas
Magonistas
Seditionistas",Mexico,,https://en.wikipedia.org/wiki/Mexican_Revolution,,1043026.0
1916,1916,Easter Rising,"British Army
Dublin Metropolitan Police
Royal Irish Constabulary","Irish Republican
Brotherhood
Irish Volunteers
Irish Citizen Army
Cumann na mBan
Hibernian Rifles
Fianna Éireann",,https://en.wikipedia.org/wiki/Easter_Rising,,1022316.0
1935,1937,Second Italo-Ethiopian War,Kingdom of Italy,Ethiopian Empire,,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War,,774080.0
1919,"1922
(Armistice)",Turkish War of Independence,Turkish National Movement,"Greece
France
Armenia (in 1920)",,https://en.wikipedia.org/wiki/Turkish_War_of_Independence,,712857.0
1941,1944,"Continuation War
Part of World War II","Soviet Union
United Kingdom","Finland
Nazi Germany
Kingdom of Italy",,https://en.wikipedia.org/wiki/Continuation_War,https://en.wikipedia.org/wiki/World_War_II,705057.0
1922,1923,Irish Civil War,Pro-treaty forces,Anti-treaty forces,,https://en.wikipedia.org/wiki/Irish_Civil_War,,662730.0
1903,1903,Great Ming Uprising,Qing dynasty,"Heavenly Kingdom of the
Great Mingshun",,https://en.wikipedia.org/wiki/1911_Revolution#Great_Ming_Uprising,,646585.0
1907,1907,Huanggang Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Huanggang_Uprising,,646585.0
1905,1905,Ping-liu-li Uprising,Qing dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Ping-liu-li_Uprising,,646585.0
1907,1907,Qinzhou Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Qinzhou_Uprising,,646585.0
1917,1917,February Revolution,Russian revolutionaries,Russian Empire,,https://en.wikipedia.org/wiki/February_Revolution,,627813.0
1931,1932,"Japanese invasion of
Manchuria",Empire of Japan,Republic of China,,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria,600166.0
1943,1949,"Ukrainian Insurgent Army
insurgency","Soviet Union
People's Republic of
Poland
Polish Underground
State
Nazi Germany (1941–
1944)",Ukrainian Insurgent Army,,https://en.wikipedia.org/wiki/Ukrainian_Insurgent_Army,,556221.0
1919,1921,Polish–Soviet War,"Republic of Poland
Ukrainian People's
Republic","Russian SFSR
Ukrainian SSR",,https://en.wikipedia.org/wiki/Polish%E2%80%93Soviet_War,,538024.0
1944,1945,"Lapland War
Part of World War II",Finland,Nazi Germany,,https://en.wikipedia.org/wiki/Lapland_War,https://en.wikipedia.org/wiki/World_War_II,515124.0
1916,1918,"Arab Revolt
Part of World War I","Hashemite Arabs
United Kingdom
Sultanate of Nejd
(Unification of Saudi Arabia)",Ottoman Empire,,https://en.wikipedia.org/wiki/Arab_Revolt,,508098.0
1912,1913,First Balkan War,"Kingdom of Bulgaria
Kingdom of Greece
Kingdom of Serbia
Kingdom of Montenegro",Ottoman Empire,,https://en.wikipedia.org/wiki/First_Balkan_War,,482956.0
1919,1922,"Greco-Turkish War (1919–1922)
","Turkish National Movement
Supported by:
Russian SFSR","Kingdom of Greece
Supported by:
United Kingdom
Armenian volunteers","Turkish War of
Independence",https://en.wikipedia.org/wiki/Greco-Turkish_War_(1919%E2%80%931922),,468915.0
1926,1929,Cristero War,Mexico,Cristeros,,https://en.wikipedia.org/wiki/Cristero_War,,464902.0
1936,1939,"1936–1939 Arab revolt in
Palestine
","United Kingdom
British Army
Palestine Police Force
Jewish Settlement Police
Jewish Supernumerary Police
Haganah
Special Night Squads
FOSH
Peulot Meyuhadot
Irgun
Peace Bands",Arab Higher Committee,"Intercommunal
conflict in Mandatory
Palestine",https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine,https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine,417345.0
1919,1920,Italo-Yugoslav War,"Kingdom of Italy
Free State of Fiume","Kingdom of Serbs,
Croats and Slovenes",,https://en.wikipedia.org/wiki/Rijeka#The_%22Fiume_Question%22_and_the_Italian-Yugoslav_dispute,,408607.0
1918,1918,Finnish Civil War,"Finnish White Guards
German Empire","Finnish Red Guards
Russian SFSR",,https://en.wikipedia.org/wiki/Finnish_Civil_War,,407231.0
1905,1907,"Russian Revolution of
1905",Russian Empire,Revolutionaries,,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,388403.0
1911,1912,Italo-Turkish War,Kingdom of Italy,Ottoman Empire,,https://en.wikipedia.org/wiki/Italo-Turkish_War,,367809.0
1941,1941,"Anglo-Iraqi War
Part of World War II","United Kingdom
British India
Transjordan","Kingdom of Iraq
Nazi Germany
Kingdom of Italy",,https://en.wikipedia.org/wiki/Anglo-Iraqi_War,https://en.wikipedia.org/wiki/World_War_II,324726.0
1913,1913,Second Balkan War,"Ottoman Empire
Kingdom of Greece
Kingdom of Serbia
Kingdom of Montenegro
Kingdom of Romania",Kingdom of Bulgaria,,https://en.wikipedia.org/wiki/Second_Balkan_War,,313617.0
1920,1926,Rif War,"France
Spain",Rif Republic,,https://en.wikipedia.org/wiki/Rif_War,,299098.0
1926,1928,"Northern Expedition
",Republic of China,Beiyang Government,Warlord Era,https://en.wikipedia.org/wiki/Northern_Expedition,https://en.wikipedia.org/wiki/Warlord_Era,288906.0
1915,1934,"United States occupation of Haiti
",United States,Haiti,Banana Wars,https://en.wikipedia.org/wiki/United_States_occupation_of_Haiti,,287334.0
1921,1921,"Kronstadt rebellion
",Russian SFSR,Anarchist sailors,Russian Civil War,https://en.wikipedia.org/wiki/Kronstadt_rebellion,,284874.0
1932,1935,Chaco War,Paraguay,Bolivia,,https://en.wikipedia.org/wiki/Chaco_War,,267510.0
1 November 1955,30 April 1975,"Vietnam War
","North Vietnam
Viet Cong and PRG
Pathet Lao
Khmer Rouge
GRUNK (from 1970)
China (1965–1969)
Soviet Union
North Korea","South Vietnam
United States
South Korea
Australia
New Zealand
Laos
Cambodia (1967–1970)
Khmer Republic (1970–
1975)
Thailand
Philippines
Taiwan
Spain","Indochina Wars
and the Cold War in Asia",https://en.wikipedia.org/wiki/Vietnam_War,https://en.wikipedia.org/wiki/Indochina_Wars,8044273.0
25 June 1950,27 July 1953,"Korean War
","South Korea
United Nations[j]
United States
... see other countries","North Korea
China
Soviet Union
(air support only)","Cold War and the
Korean conflict",https://en.wikipedia.org/wiki/Korean_War,https://en.wikipedia.org/wiki/Cold_War,4546373.0
1948,1950,"Pre-Korean War
insurgency[23]",South Korea,"Anti-government insurgents
Pro-North Korean rebels",,https://en.wikipedia.org/wiki/Korean_War,https://en.wikipedia.org/wiki/Korean_War#Communist_insurgency_in_South_Korea_(1948%E2%80%931950),4546373.0
1960s,1998[u],The Troubles,"Irish republican paramilitaries:
Provisional IRA (PIRA)
Irish National Liberation
Army (INLA)
Official IRA (OIRA)
Continuity IRA (CIRA)
Real IRA (RIRA)
Irish People's Liberation
Organisation (IPLO)
Ulster loyalist paramilitaries:
Ulster Defence Association
(UDA)
Ulster Volunteer Force (UVF)
Red Hand Commando
(RHC)
Ulster Resistance (UR)
Loyalist Volunteer Force
(LVF)
Ulster Protestant Volunteers
(UPV)","State security forces:
British Armed Forces
Royal Ulster Constabulary
Irish Defence Forces
Gardaí",,https://en.wikipedia.org/wiki/The_Troubles,,3557006.0
1978,1979,"Iranian Revolution
Part of Constitutionalization attempts
in Iran and the Cold War","Revolutionary Council
Islamist Opposition
Combatant Clergy Association
Islamic Association of Students
Islamic Association of Teachers
Islamic Association of Engineers
Islamic Association of Physicians
Islamic Coalition Societies
Fada'iyan-e Islam
Mojahedin
Liberal Democratic Opposition
Freedom Movement of Iran
National Front
JAMA
Democratic Party of Iranian Kurdistan
Confederation of Iranian Students
Leftist Opposition
Mojahedin-e-Khalq
Fadaiyan-e-Khalq
Tudeh Party
Sarbedaran
Peykar
Movement of Militant Muslims
Razmandegan
Worker's Way
Komalah","Imperial State of Iran
Pro-Shah Groups
Regency Council[ab]
Rastakhiz Party (until 1 November
1978)
Imperial Army[ac]
Imperial Guard
SAVAK
Shahrbani
Gendarmerie",,https://en.wikipedia.org/wiki/Iranian_Revolution,https://en.wikipedia.org/wiki/Constitutionalization_attempts_in_Iran,3104130.0
1947,Ongoing,"Indo-Pakistani wars and
conflicts
","India
Bangladesh (1971)[9]","Pakistan
Alleged proxies:
Kashmiri insurgents (1989–present)
Jammu Kashmir
Liberation Front
Lashkar-e-Taiba
Jaish-e-Mohammed
United Jihad Council
Hizbul Mujahideen
People's Anti-Fascist Front
The Resistance Front
Dukhtaran-e-Millat[10]
Harkat-ul-Mujahideen","Kashmir
conflict and the Cold
War",https://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts,https://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts,3028703.0
1980,1988,"Iran–Iraq War
","Iran
KDP
PUK
ISCI
Islamic Dawa Party
Hezbollah[531]
Shia volunteers[ae]","Iraq
DRFLA[538][539]
MEK
NCRI
PDKI[540]
Salvation Force[541]
Arab volunteers[af]","Cold War, the aftermath of the Iranian
revolution, the Iraqi–Kurdish conflict, and the Iran–
Saudi Arabia proxy conflict",https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,https://en.wikipedia.org/wiki/Cold_War,2866433.0
1982,1982,"Falklands War
",United Kingdom,Argentina,Falkland Islands sovereignty dispute,https://en.wikipedia.org/wiki/Falklands_War,https://en.wikipedia.org/wiki/Falkland_Islands_sovereignty_dispute,2618651.0
1967,1967,"Six-Day War
",Israel,"Egypt
Syria
Jordan
Iraq[299]
Minor involvement:
Lebanon[300]","Arab–
Israeli conflict and the
Cold War",https://en.wikipedia.org/wiki/Six-Day_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict,2551152.0
1973,1973,"Yom Kippur War
",Israel,"Egypt
Syria
Expeditionary forces
Saudi Arabia[392]
Algeria[393]
Jordan
Libya
Iraq
Kuwait[394]
Tunisia
Morocco[395]
Cuba
North Korea[396]","Arab–Israeli conflict
and the Cold War",https://en.wikipedia.org/wiki/Yom_Kippur_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict,2293855.0
1979,1989,"Soviet–Afghan War
",Afghan mujahideen,"Soviet Union
Afghanistan","Cold War and the
Afghan conflict",https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War,https://en.wikipedia.org/wiki/Cold_War,2038636.0
1961,1961,"Bay of Pigs Invasion
",Cuba,"United States
Cuban DRF","Cold War and
the Consolidation of the
Cuban Revolution",https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion,https://en.wikipedia.org/wiki/Cold_War,1818269.0
1953,1953,"1953 Iranian coup d'état
","House of Pahlavi
supporters
United States[l]
United Kingdom[l]","Iranian Government
supporters","Abadan Crisis and
the Cold War",https://en.wikipedia.org/wiki/1953_Iranian_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Abadan_Crisis,1655521.0
1956,1956,"Suez Crisis
","Israel
United Kingdom
France",Egypt,"Cold War
and the Arab–Israeli
conflict",https://en.wikipedia.org/wiki/Suez_Crisis,https://en.wikipedia.org/wiki/Cold_War,1622516.0
1989,1990,"United States invasion of Panama
the war on drugs and Cold War",United States,Panama,,https://en.wikipedia.org/wiki/United_States_invasion_of_Panama,https://en.wikipedia.org/wiki/War_on_drugs,1581091.0
1945,1949,"Chinese Civil War
(second phase)
","1945–1949
Yan'an Soviet
People's
Republic of China
(1949)
Chinese
Communist
Party
People's
Liberation Army","1945–1949
Republic of China
Kuomintang
Republic of China
Armed Forces","Chinese
Communist Revolution
and the Cold War",https://en.wikipedia.org/wiki/Chinese_Civil_War,https://en.wikipedia.org/wiki/Chinese_Communist_Revolution,1569753.0
1948,1949,"1948 Arab–Israeli War
","Israel
Before 26 May 1948:
Yishuv
Paramilitary groups:
Haganah
Palmach
Hish
Him
Irgun
Lehi
Allied Bedouin
tribes[17][18]
After 26 May 1948:
Israel Defense Forces
Minorities Unit
Foreign volunteers:
Mahal","Arab League:
Egypt[19]
All-Palestine
Protectorate[h]
Holy War Army[h]
Transjordan[19]
Iraq[19]
Syria[19]
Lebanon[i]
Saudi Arabia[21]
Yemen[22]
Irregulars:
Arab Liberation Army
Al-Najjada
Holy War Army","1948 Palestine
war and the Arab–Israeli
conflict",https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War,https://en.wikipedia.org/wiki/1948_Palestine_war,1440564.0
1962,1962,"Sino-Indian War
",China,India,"Sino-Indian
border dispute",https://en.wikipedia.org/wiki/Sino-Indian_War,https://en.wikipedia.org/wiki/Sino-Indian_border_dispute,1155926.0
1964,1979,"Rhodesian Bush War
","ZANU (ZANLA)[208]
ZAPU (ZIPRA)
Mozambique[209]
ANC (MK)[209]
Zambia[210]","Rhodesia
(1964–1979)
Zimbabwe Rhodesia
(1979)
Portugal
(1964–1974)[r]
South Africa
(from 1967)[211]","Cold War and
decolonisation of Africa",https://en.wikipedia.org/wiki/Rhodesian_Bush_War,https://en.wikipedia.org/wiki/Cold_War,1074466.0
1975,1990[Note 1],"Lebanese Civil War
","Lebanese Front
Kataeb Party
Lebanese Forces
Marada Brigades (until 1978)
Guardians of the Cedars
Al-Tanzim
Lebanese Youth Movement (MKG)
Tyous Team of Commandos
Zahliote Group
Shuraya Party
Vanguard of the Maani Army (MDJ)
(Other minor organizations)
Army of Free Lebanon (until 1977)
SLA (from 1976)
Israel (from 1978)
Tigers Militia (until 1980)","Lebanese National Movement (1975–
1982)
Jammoul (1982–1990)
Al-Mourabitoun
Progressive Socialist Party (PSP)
Lebanese Communist Party (LCP)
Syrian Social Nationalist Party in
Lebanon (SSNP)
Communist Action Organization in
Lebanon (OCAL)
Lebanese Movement in Support of
Fatah (LMSF)
Arab Socialist Ba'ath Party – Lebanon
Region
Revolutionary Communist Group
Sixth of February Movement
Socialist Arab Lebanon Vanguard
Party (SALVP)
Popular Nasserist Organization
(PNO)
Lebanese Arab Army (LAA)
Other minor organizations
PLO (1975–1983)
ASALA
Hezbollah (1985–1990)
Iran (from 1980, mainly IRGC
and Army paramilitary units)
Islamic Unification Movement (from
1982)
Syria (1976, 1983–1991)
Amal Movement
PNSF
Marada Brigades (left LF in
1978; aligned with Syria)
Lebanese Armed Forces
UNIFIL (from 1978)
Multinational Force in Lebanon
(1982–1984)
United States
UK
France
Italy","Cold War, Arab Cold War,
Arab–Israeli conflict, Iran–Israel and
Iran–Saudi proxy wars",https://en.wikipedia.org/wiki/Lebanese_Civil_War,https://en.wikipedia.org/wiki/Cold_War,1066607.0
1953,1959,Cuban Revolution,"26th of July Movement
Revolutionary Directorate
of March 13th
Second National Front of
Escambray","Cuba
Cuban Constitutional
Army",,https://en.wikipedia.org/wiki/Cuban_Revolution,,1061333.0
1971,1971,"Bangladesh Liberation War
","Bangladesh
India (3–16 Dec.)",Pakistan,"independence of
Bangladesh, the Indo-Pakistani
conflicts, and the Cold War",https://en.wikipedia.org/wiki/Bangladesh_Liberation_War,https://en.wikipedia.org/wiki/Independence_of_Bangladesh,1049856.0
1961,1962,"French military rebellion in
Algeria[102][103]
",France,OAS,Algerian War,https://en.wikipedia.org/wiki/Algerian_War,,1011686.0
1954,1962,"Algerian War
","FLN
MNA
PCA","French Fourth Republic
(1954–1958)
French Fifth Republic
(1958–1962)
La Main Rouge
MPC
ANPA
FAF
(1960–61)
OAS
(1961–62)","Cold War and the
decolonisation of Africa",https://en.wikipedia.org/wiki/Algerian_War,https://en.wikipedia.org/wiki/Cold_War,1011686.0
1956,1956,"Hungarian Revolution of
1956
","Soviet Union
Until 28 October:
Hungary
From 4 November:
Kádár government","Hungarian
revolutionaries
From 28 October:
Hungary (Nagy
government)",Cold War,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,961887.0
1983,1983,"United States invasion of Grenada
","United States
Grenadian Opposition
Caribbean Peace Force:
Barbados
Jamaica
Organisation of Eastern Caribbean
States
Antigua and Barbuda
Dominica
Saint Kitts and Nevis
Saint Lucia
Saint Vincent and the
Grenadines","Grenada (PRG)
Cuba
Soviet Union",Cold War,https://en.wikipedia.org/wiki/United_States_invasion_of_Grenada,https://en.wikipedia.org/wiki/Cold_War,933943.0
1967,1970,"Nigerian Civil War
","Nigeria
Egypt[s]
Supported by:
United Kingdom[303]
Soviet Union[304]
Ethiopia[305]","Biafra
Republic of Benin (1967)
Supported by:
China[306][307]
Tanzania[308][309][310]
Zambia
Gabon
Côte d'Ivoire
Covert support:
France[311][312]
Portugal[311][312]
Israel[311][312]
South Africa[311][312]
Rhodesia[311][312]","Cold War and
the decolonisation of Africa",https://en.wikipedia.org/wiki/Nigerian_Civil_War,https://en.wikipedia.org/wiki/Cold_War,931277.0
