0,1,2,3,4
1810,1821,"Mexican War of
Independence
Part of the Spanish
American wars of
independence",Mexican Army,Spain
1811,1812,"Cambodian rebellion
(1811–12)","Cambodian pro-Siamese
faction
Rattanakosin Kingdom
(Siam)","Cambodian pro-
Vietnamese faction
Nguyễn dynasty (Vietnam)"
1811,1811,Battle of Khakeekera,"Bahrain
Kuwait",Diriyah
1811,1811,"1811 German Coast
uprising",United States,Rebel Slaves
1811,1811,"Invasion of Java
(1811)",British East India Company,France
1811,1811,Tonquin incident,United States,Tla-o-qui-aht
1811,1812,Fourth Xhosa War,Cape Colony,Xhosa Tribes
,,,,
1811,1811,Ga–Fante War,"Fante Confederacy
Akwapim Tribes
Akim Tribes","Ashanti Empire
Ga Tribes
British Empire
Dutch Empire"
1811,1815,Arakanese Uprising[5],Burmese Empire,Rohingya Insurgents
1811,1811,"Battle of Las Piedras
Part of the Spanish
American wars of
independence","Forces of José Gervasio
Artigas",Spain
1811,1812,Cambodian Rebellion,"Viet Nam
Kingdom of Cambodia","Forces of Khmer
Pretender Ang Snguon
Siam"
1811,1811,Paraguayan Revolt,Paraguay,Viceroyalty of Peru
1811,1818,Wahhabi War,Ottoman Empire,First Saudi State
1811,1823,"Venezuelan War of
Independence
Part of the Spanish
American wars of
independence","Venezuela
Gran Colombia
British Empire
New Granada",Spain
1811,1826,"Peruvian War of
Independence
Part of the Spanish
American wars of
independence","Peru
United Provinces of the Río
de la Plata
Gran Colombia
Chile
British Empire",Spain
1812,1812,Battle of Shela,Lamu,"Mombasa
Pate"
1812,1812,"Hong Gyeong-Rae's
Rebellion",Joseon dynasty,"Forces loyal to Hong Gyeong-
nae"
1812,1812,Aponte conspiracy,Spain,Slaves
1812,1812,"French invasion of
Russia
Part of the Napoleonic
Wars",Russian Empire,"France
Duchy of Warsaw
Italy
Naples
Confederation of the Rhine
Baden
Bavaria
Berg
Saxony
Westphalia
Spain
Swiss Confederation"
,,,,"Allies:
Austria
Prussia"
1812,1814,"War of the Sixth
Coalition
Part of the Napoleonic
Wars","Original Coalition:
Russian Empire
Kingdom of Prussia
Austrian Empire
Sweden
United Kingdom of Great
Britain and Ireland
Spain
Kingdom of Portugal
Sicily
Kingdom of Sardinia
After Battle of Leipzig:
Kingdom of Saxony
Kingdom of Bavaria
Württemberg","France
Kingdom of Italy
(Napoleonic)
Duchy of Warsaw
Naples
Until January 1814
Denmark–Norway
Swiss Confederation
Confederation of the Rhine
(Many member states defected after
Battle of Leipzig)"
1812,1815,War of 1812,"British Empire
United States
United States","British Empire
United States
United States"
1812,1821,Pemmican War,"North West Company
Métis","Hudson's Bay Company
Selkirk's settlers"
1813,1813,"Eight Trigrams uprising
of 1813",Qing dynasty,Eight Trigram Sect
1813,1837,Afghan-Sikh Wars,Sikh Empire,"Durrani Empire
Emirate of Afghanistan"
1813,1814,Creek War,"United States
Lower Creeks
Cherokees
Choctaws","""Red Sticks"" (Creek Indians)"
1813,1813,Peoria War,United States,"Kickapoo Nation
Potawatomi Nation"
1814,1814,"Brazilian slave revolt of
1814",Colonial Brazil,Rebels
1814,1814,"Swedish–Norwegian
War
Part of the Napoleonic
Wars",Sweden,Norway
1814,1816,Anglo-Nepalese War,"British East India Company
Forces of the Chogyal",Nepal
1814,1816,"Ashanti–Akim–
Akwapim War",Ashanti Empire,"Akwapim Tribes
Akim Tribes"
,,,,
1814,1814,"Hadži Prodan's Revolt
Part of the Serbian
Revolution",Ottoman Empire,"Forces of Hadži Prodan
Gligorijevic"
1814,1880,Argentine Civil Wars,"Federalists
Blancos","Unitarios
Colorados"
1815,1815,"Slachter's Nek
Rebellion",United Kingdom,Boer Rebels
1815,1815,Second Barbary War,"United States
United Kingdom of the
Netherlands
United Kingdom (from
1815)","Barbary States
Ottoman Empire"
1815,1815,Second Kandyan War,British Empire,Kingdom of Kandy
1815,1815,"Hundred Days
War of the Seventh
Coalition","United Kingdom
Kingdom of Prussia
Kingdom of France
Kingdom of Hanover
German Confederation
Austrian Empire
Russian Empire
Sweden
Netherlands
Spain
Kingdom of Portugal
Kingdom of Sardinia
Kingdom of the Two
Sicilies
Grand Duchy of
Tuscany","First French Empire
Napoleonic Kingdom
of Naples"
1815,1815,"Neapolitan War
Part of the Hundred
Days","Austrian Empire
Kingdom of the Two
Sicilies
Grand Duchy of
Tuscany
United Kingdom","Napoleonic Kingdom of
Naples"
1815,1815,Temne-Susu War[6],Kingdom of Koya,Susu Tribes
1815,1816,"Spanish reconquest of
New Granada
Part of the Spanish
American wars of
independence",Spanish Empire,"United Provinces of New
Granada"
1815,1817,"Second Serbian
Uprising
Part of the Serbian
Revolution",Principality of Serbia,Ottoman Empire
,,,,
1816,1816,Bussa's Rebellion,British Empire,Barbadian slaves
1816,1816,"Bombardment of
Algiers",British Empire,"Ottoman Empire
Algiers"
1816,1820,"Luso-Brazilian
conquest of the Banda
Oriental","United Kingdom of Portugal,
Brazil and the Algarves",Federal League
1816,1857,Afaqi Khoja revolts,Qing dynasty,"Aq Taghlik Khojas
Supported by: Kokand
Khanate"
1817,1817,Pernambucan Revolt,"United Kingdom of Portugal,
Brazil and the Algarves",Pernambuco rebels
1817,1817,Pentrich rising,British Empire,Tax resisters
1817,1818,"Third Anglo-Maratha
War",British East India Company,Maratha Confederacy
1817,1818,"First Seminole War
Part of the Seminole
Wars",United States,Seminole Tribes
1817,1818,Uva Rebellion,British Empire,Kingdom of Kandy
1817,1819,Ndwandwe–Zulu War,Forces of Shaka Zulu,Forces of King Zwide
1817,1826,"Burmese invasions of
Assam",Burmese Empire,"Kingdom of Ahom
Kingdom of Manipur"
1817,1864,Caucasian War,Russian Empire,"Avar Khanate
Circassia
Kingdom of Kartli-
Kakheti
Caucasian Imamate
Other Tribes of the North
Caucasus"
1818,1818,Akure–Benin War,Benin Kingdom,Akure Kingdom
1818,1819,Fifth Xhosa War,"British Empire
Khoikhoi Forces","Forces of Xhosa Chief Maqana
Nxele"
1818,1828,Zulu wars of conquest,Zulu Kingdom,"Other remnants of the Mtetwa
Paramountcy"
1819,1820,"Bolívar's campaign to
liberate New Granada
Part of the Venezuelan
War of Independence","United Provinces of New
Granada",Spain
1819,1819,Chuguev uprising,Russian Empire,Chuguev Regiment
Start,Finish,Name of conflict,Belligerents,
,,,"Victorious party (if
applicable)",Defeated party (if applicable)
1820,1820,Revolution of 1820,Kingdom of the Two Sicilies,Carbonari
1820,1820,"Cambodian rebellion
(1820)","Cambodian pro-Siamese
faction
Rattanakosin Kingdom
(Siam)",Khmer anti-Vietnamese rebels
1820,1824,"Turco-Egyptian
conquest of Sudan
(1820-1824)",Egypt Eyalet,"Funj Sultanate
Sultanate of Darfur Shaigiya
tribe"
1820,1821,Farhi family revolt,Ottoman Empire,Farhi family and its Rebels
1820,1821,Bani Bu Ali expedition,"Omani Empire
East India Company",Bani Bu Ali tribe
1820,1822,Ali Pasha's Revolt,Ottoman Empire,Ali Pasha of Yanina
1820,1822,"Ecuadorian War of
Independence
Part of the Spanish
American wars of
independence","Free Province of
Guayaquil",Kingdom of Spain
1820,1823,Trienio Liberal,"Kingdom of Spain
Kingdom of France",Partisans of the Cortes
1820,1875,Texas–Indian wars,"Spain
Mexico
Republic of Texas
United States",Comanche
1821,1821,"Siamese invasion of
Kedah",Rattanakosin Kingdom,Kedah Sultanate
1821,1825,"Ijebu and Ife war
against Owu","Ijebu
Ife",Owu Kingdom
1821,1821,"Wallachian uprising
(1821)",Ottoman Empire,Principality of Wallachia
1821,1821,Niš Rebellion (1821),Ottoman Empire,Niš Secret Organization
1821,1823,"Ottoman–Persian War
(1821–23)",Qajar Persia,Ottoman Empire
1821,1829,"Greek War of
Independence","Greek revolutionaries
Britain
United States of the
Ionian Islands","Ottoman Empire
Egypt Eyalet
Beylik of Tunis (naval
battles)"
,,,"Kingdom of France
(1827 only)
Russian Empire
(1827 only)",
1821,1837,Padri War,Dutch Empire,"Indigenous population of West
Sumatra"
1821,1829,"Spanish attempts to
reconquer Mexico",Mexico,Spanish Empire
1821,1870,"Comanche–Mexico
Wars","Comanche
Kiowa",Mexico
1821,1821,1821 Alghero revolt[7],Kingdom of Sardinia,Rebels of Alghero
1822,1823,"Mexican annexation of
El Salvador","First Mexican Empire
Guatemala",El Salvador
1822,1823,"Casa Mata Plan
Revolution",Mexican Republicans,First Mexican Empire
1822,1825,"Brazilian War of
Independence",Empire of Brazil,Kingdom of Portugal
1822,1844,"Haitian occupation of
Santo Domingo",Republic of Spanish Haiti,Haiti
1823,1823,"Hundred Thousand
Sons of Saint Louis","France
Armée de la Foi",Partisans of the Cortes
1823,1823,"Ochomogo War
Part of the Mexican
annexation of Central
America",Republicans,Imperialists
1823,1823,"Demerara rebellion of
1823",British Empire,Demerara slaves
1823,1823,"Expedition to the West
Coast of Borneo","Royal Netherlands East
Company",Chinese Indonesian rebels
1823,1823,Revolt of Querétaro,"Provisional Government of
Mexico",Mexican Empire
1823,1831,"First Anglo-Ashanti
War",Ashanti Empire,British Empire
1823,1824,First Greek civil war,"Primates and supporters
of the Government","Military leaders and supporters of
Philiki Etaireia"
1824,1824,"Chumash revolt of
1824",,
1824,1824,Bathurst War,British Empire,Wiradjuri
1824,1824,"Confederation of the
Equator Revolt",Empire of Brazil,Confederation of the Equator
1824,1824,First Bone War,Dutch Empire,Sulawesi Rebels
1824,1824,April Revolt,Absolutists,Liberals
1824,1825,"Second Greek civil
war","Roumeliotes and Islanders
(Hydra)",Moreotes
1824,1826,"First Anglo-Burmese
War","Britain
British East India",Burmese Empire
,,,"Company
Native Tribes",
1825,1825,Second Bone War,Dutch Empire,Sulawesi Rebels
1825,1825,Battle of Tripoli (1825),Kingdom of Sardinia,Tripolitania
1825,1828,"Aegean Sea Anti-
Piracy Operations of
the United States",United States,Greek Pirates
1825,1825,Decembrist revolt,Russian Empire,Decembrists
1825,1828,Cisplatine War,Empire of Brazil,"United Provinces of the Río
de la PlataThirty-Three Orientals"
1825,1830,Java War,"Dutch Empire
Pro-Netherlands Javanese","Rebellion forces of Prince
Diponegoro"
1825,1825,"Franco-Trarzan War
of 1825","France
Comte de Villèle",Forces of Muhammad al Habib
1826,1826,Katamanso War,"Dutch Empire
British Empire
Netherlands
Denmark",Ashanti Empire
1826,1837,"Kurdish revolt of
1826–1837[8]",Ottoman Empire,Kurdish rebels
1826,1829,"First Central American
Civil War",Liberals,Conservatives
1826,1828,"Russo-Persian War
(1826–28)
Part of the Russo-
Persian Wars",Russian Empire,Persian Empire
1826,1826,"Chernigov Regiment
revolt",Russian Empire,Decembrists
1826,1831,Sikh–Wahhabi War,Sikh Empire,"Mujahideen
Kingdom of Amb
Peshawari Sardars
Pashtun tribes"
1826,1828,Siamese-Lao War,Siam,"Anouvong
King of Vientiane"
1827,1827,"1827 Honduran coup
d'état",State of Honduras,Honduran Conservatives
1827,1827,Winnebago War,"United States
Local militia",Winnebago
1828,1828,"Peruvian–Bolivian
War of 1828",Peru,Bolivia
1828,1829,"Gran Colombia–Peru
War",Gran Colombia,Peru
1828,1828,"Irish and German
Mercenary Soldiers'
Revolt",Empire of Brazil,Irish and German mercenaries
1828,1828,"Bombardment of
Tripoli (1828)",Tripolitania,Kingdom of the Two Sicilies
1828,1834,Liberal Wars,"Liberal forces of Queen
Mary II","Absolutist forces of King
Miguel"
,,,"United Kingdom
Spain",
1828,1829,"Russo-Turkish War
(1828–29)",Russian Empire,Ottoman Empire
1828,1832,Black War,British Empire,Tasmanian Aborigines
1829,1830,"Austrian expedition
against Morocco
(1829)",Austrian Empire,Morocco
1829,1830,"Chilean Civil War of
1829–30","Pelucones
Military of Chile
Chilean Army
Chilean Navy",Pipiolos
1829,1833,Anglo-Khasi War,British Empire,Khasi people
Start,Finish,Name of conflict,Belligerents,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)"
1830,1830,Freiämtersturm,Freie Ämter militia,Canton of Aargau
1830,1830,"July Revolution
French Revolution of 1830",House of Orléans,House of Bourbon
1830,1831,November Uprising,Russian Empire,Polish insurgents
1830,1831,Belgian Revolution,"Southern Provinces of the
Netherlands","United Kingdom of the
Netherlands"
1830,1847,French conquest of Algeria,France,"Ottoman Empire
Algiers"
1830,1850,Port Phillip District Wars,British Empire,Australian Aborigines
1831,1831,"Dutch expedition on the west
coast of Sumatra",Dutch Empire,Sumatran Rebels
1831,1831,Merthyr Rising,British Empire,Coal Miners
1831,1831,Turner's Rebellion,United States,Slave Rebels
1831,1833,Kol uprising,British Empire,Adivasi Rebels
1831,1834,"Siamese–Vietnamese War
(1831–34)","Vietnam
Vietnamese protectorate of
Cambodia",Siam
1831,1832,Baptist War,British Empire,Rebel slaves
1831,1832,Naning War,East India Company,Malay rebels
1831,1833,"Egyptian–Ottoman War
(1831–33)",Egypt,"Ottoman Empire
Russian Empire
(from 1833)"
1831,1833,Yagan Resistance,British Empire,Yagan
1831,1833,Bosnian Uprising (1831–32),Ottoman Empire,Bosnian ayans
1832,1832,Black Hawk War,"United States
Ho-Chunk
Menominee
Potawatomi","Black Hawk's British Band:
Sauk
Fox
Kickapoo"
1832,1832,June Rebellion,France,French Republicans
1833,1834,Desert Campaign (1833–34),Argentina,Mapuche rebels
1833,1835,Lê Văn Khôi revolt,Nguyễn dynasty,Lê Văn Khôi rebels
1833,1839,Albanian Revolts of 1833–39,Ottoman Empire,Albanian rebels
1833,1840,First Carlist War,Liberals and Allies:,Carlists:
,,,"Forces of Queen
Isabella II of Spain
British Empire
France
Forces of Queen
Mary II of Portugal","Forces of Infante
Carlos of Spain
Forces of King
Miguel of Portugal"
1834,1834,Peruvian civil war of 1834,Government of Peru,Revolutionaries
1834,1834,Coorg War,,
1834,1834,Priest Jovica's Rebellion,Ottoman Empire,Christian peasants
1834,1834,"Peasants' Revolt of 1834
(Palestine)",Egypt Eyalet,Palestinian Peasants
1834,1834,Battle of Pinjarra,British Empire,Pinjarup
1834,1836,Sixth Xhosa War,"British Empire
Free Khoikhoi",Xhosa Tribes
1835,1858,"1835–58 revolt in Ottoman
Tripolitania",Ottoman Empire,Libyan rebels
1835,1836,Revolution of the Reforms,State of Venezuela,Reformists
1835,1836,Salaverry-Santa Cruz War,"Supporters of Luis José de
Orbegoso and Andrés de
Santa Cruz","Supporters of Felipe
Santiago Salaverry"
1835,1835,League War,San José,"Alajuela
Cartago
Cartago"
1835,1835,Malê Revolt,Empire of Brazil,Muslim Nagos
1835,1835,Zacatecas Rebellion,Mexico,Zacatecan rebels
1835,1836,Texas Revolution,Republic of Texas,Mexico
1835,1842,"Second Seminole War
Part of the Seminole Wars",United States,Seminole Tribes
1835,1845,Ragamuffin War,Empire of Brazil,"Riograndense Republic
Juliana Republic"
1835,1840,Cabanagem,Empire of Brazil,"Indians
Cabanos"
1836,1836,Posavina rebellion (1836),Ottoman Empire,Bosnian nobility
1836,1836,"Belogradchik rebellion
(1836)",Ottoman Empire,Serbian peasants
1836,1836,Berkovitsa rebellion (1836),Ottoman Empire,Bulgarian peasants
1836,1836,Pirot rebellion,Ottoman Empire,Orthodox peasants
,,,,
1836,1839,War of the Confederation,"Chile
North Peru
Argentine Confederation","Peru-Bolivian
Confederation"
1837,1838,"Siege of Herat (1838)
Afghan-Persian War",Emirate of Afghanistan,Qajar Iran
1837,1837,Revolt of 1837 (New Mexico),Mexico,Cantón
1837,1838,Sabinada,Empire of Brazil,Bahia Republic
1837,1838,"Lower Canada Rebellion
Part of the Rebellions of
1837","United Kingdom
British North America","Patriote movement
American
Volunteers"
1837,1838,"Upper Canada Rebellion
Part of the Rebellions of
1837","United Kingdom
British North America","Hunters' Lodges
Republic of Canada"
1837,1839,Dutch–Ahanta War,Dutch Empire,Ahanta Kingdom
1837,1847,Kenesary's Rebellion[9],Russian Empire,Kazakh Khanate
1838,1840,"Muhammad Ali's Yemeni
Expedition
Part of the Yemeni–
Ottoman Conflicts",Ottoman Empire,Zaidis
1838,1838,Battle of Blood River,Voortrekkers,Zulu kingdom
1838,1838,Mormon War,Non-Mormon Missourians,"Latter Day Saint
movement"
1838,1839,Balaiada,Empire of Brazil,"Balaios
African slaves"
1838,1839,Pastry War,France,Mexico
1839,1839,Newport Rising,British Empire,Chartists
1839,1839,Züriputsch,Zürich,Conservative Putschists
1839,1841,"Egyptian–Ottoman War
(1839–41)","British Empire
Austrian Empire
Russian Empire
Kingdom of Prussia
Ottoman Empire","Egypt
France
Spain"
1839,1840,Khivan campaign of 1839,Khanate of Khiva,Russian Empire
1839,1841,War of the Supremes,,
1838,1842,First Anglo-Afghan War,Emirate of Afghanistan,"British Empire
British East India
Company"
1839,1842,First Opium War,British Empire,Qing Empire of China
1839,1847,Albanian Revolt of 1847,Ottoman Empire,Albanian rebels
1839,1851,Uruguayan Civil War,"Colorados
Argentine Unitarians
France
Riograndense
Republic
British Empire
Empire of Brazil
Italian Legion","Blancos
Federalists
Argentine
Confederation"
1840,1841,Cambodian rebellion (1840),"Khmer anti-Vietnamese
rebels
Support:
Rattanakosin Kingdom
(Siam)",Nguyễn dynasty (Vietnam)
1830s,1860s,Eumerella Wars,British Empire,Gunditjmara people
Start,Finish,Name of conflict,Belligerents,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)"
1841,1841,Niš Rebellion (1841),Ottoman Empire,Christian rebels
1841,1841,1841 rebellion in Guria,Russian Empire,Guria Peasants
1841,1845,"Siamese–Vietnamese War
(1841–45)","Vietnam
Cambodia protectorates loyal
to King Ang Duong",
1841,1842,Sino-Sikh War,China,Sikh Empire
1842,1847,Kurdish revolt of 1842–1847[8],Ottoman Empire,Emirate of Botan
1842,1842,Shoorcha rebellion,Russian Empire,"Chuvash Peasants
Tatar Peasants
Mari Peasants"
1842,1868,Russian Conquest of Bukhara,Russian Empire,Emirate of Bukhara
1842,1843,Mier expedition,Mexico,Texas
1843,1844,"Peruvian civil war of 1843–
1844",Revolutionaries,Peruvian government
1843,1844,Albanian Revolt of 1843–44,Ottoman Empire,Albanian rebels
1843,1843,"Wairau Affray
Part of the New Zealand Wars",Ngāti Toa,British Settlers
1843,1843,Battle of One Tree Hill,British Settlers,Jagera people
1844,1856,"Dominican War of
Independence",Dominican Republic,Haiti
1844,1844,Franco-Moroccan War,France,Morocco
1844,1847,Franco-Tahitian War,"France
Tahitian allies","Tahiti
Huahine
Raiatea
Bora Bora and Tahaa"
1844,1845,Malespín's War,"El Salvador
Honduras",Nicaragua
1845,1845,Albanian Revolt of 1845,Ottoman Empire,Albanian rebels
1845,1846,First Anglo-Sikh War,"British East India
Company",Sikh Empire
1845,1846,"Flagstaff War
Northern War
Part of the New Zealand Wars",Ngāpuhi Iwi,"British Empire
Forces of Tamati
Waka Nene"
1846,1847,,Venezuela,Federal rebels
1846,1846,Revolution of Maria da Fonte,Portuguese Empire,Tax Resisters
1846,1846,"Hutt Valley Campaign
Part of the New Zealand Wars",British Empire,Ngāti Toa
,,,"British Settlers
Te Āti Awa",
1846,1846,Kraków uprising,Austrian Empire,"Polish independence
movement"
1846,1846,Galician slaughter,Austrian Empire,Polish peasants
1846,1846,"Dutch intervention in Northern
Bali (1846)",Netherlands,Bali
1846,1846,Revolt of the Faitiões,Portuguese Empire,Faitiões
1846,1847,Patuleia,Cartistas,"Septembrists
Miguelists"
1846,1847,Seventh Xhosa War,British Empire,Xhosa Tribes
1846,1849,"Second Carlist War
War of the Madrugadores","Forces of Queen Isabella
II of Spain",Carlists
1846,1848,Mexican–American War,United States,Mexico
1846,1848,"Wanganui Campaign
Part of the New Zealand Wars","British Empire
British Settlers
Māori Kupapa",Māori Iwis
1847,1847,Sonderbund War,Swiss Confederation,Sonderbund
1847,1850,Sierra Gorda Rebellion,Mexico,Tax Resisters
1847,1855,Cayuse War,United States,Cayuse
1847,1933,Caste War of Yucatán,Mexico,Maya Free State
1847,1847,"Operations against the Baizai
(1847)[10]",British Empire,Baizai Tribesmen
1848,1849,"Venezuelan Civil War of
1848–1849",State of Venezuela,Rebels
1848,1849,"Revolutions of 1848 in the
Italian states","Austrian Empire
Kingdom of Two Sicilies
Papal States","Kingdom of Sicily
Provisional Government
of Milan
Republic of San Marco
Roman Republic
Central Italy Rebels
Supported by:
Kingdom of Sardinia"
1848,1848,"Greater Poland Uprising
(1848)",Kingdom of Prussia,Polish rebels
1848,1848,French Revolution of 1848,French Republic,July Monarchy
