Start,Finish,Name of conflict,Belligerents,,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
,,,"Sardinia[κ]
Saxony[δ]
Sicily[λ][h]
Spain[μ][i]
Sweden[ν][j]
Switzerland
Tuscany[ε]
Württemberg[δ]","Ottoman Empire[ρ][f]
Persia[σ][g]
Prussia[θ][q]
Russia[θ][c]
Spain[τ][i]
Sweden[υ][j]",,,,
1803,1806,"War of the Third
Coalition
","French Empire and allies:
France
Batavian Republic
Italy
Etruria
Spain
Bavaria
Württemberg","Austrian Empire
Russian Empire
United Kingdom
Naples and Sicily
Sweden","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,359507.0
1803,1837,Padri War,"Adats
Netherlands",Padris,,https://en.wikipedia.org/wiki/Padri_War,,35165.0
1804,1804,1804 Mtiuleti rebellion,Russian Empire,Georgian and Ossetian rebels,,https://en.wikipedia.org/wiki/1804_Mtiuleti_rebellion,,7339.0
1804,1804,Battle of Suriname,United Kingdom,Batavian Republic,,https://en.wikipedia.org/wiki/Battle_of_Suriname,,4374.0
1804,1804,"Battle of Sitka
",Russian Empire,"Tlingit
Kiks.ádi clan","Russian
colonization of the
Americas",https://en.wikipedia.org/wiki/Battle_of_Sitka,,87667.0
1804,1813,"First Serbian Uprising
","Ottoman Empire
France","Revolutionary Serbia
Volunteers from
Habsburg monarchy
Russian Empire","Serbian
Revolution",https://en.wikipedia.org/wiki/First_Serbian_Uprising,https://en.wikipedia.org/wiki/Serbian_Revolution,97155.0
1804,1804,"Uprising against the
Dahije
",Karađorđe,Dahije,"First
Serbian Uprising",https://en.wikipedia.org/wiki/First_Serbian_Uprising#Uprising_against_the_Dahije,https://en.wikipedia.org/wiki/First_Serbian_Uprising#Uprising_against_the_Dahije,97155.0
1804,1804,"Castle Hill convict
rebellion",New South Wales,Convicts,,https://en.wikipedia.org/wiki/Castle_Hill_convict_rebellion,https://en.wikipedia.org/wiki/Castle_Hill_convict_rebellion,48786.0
1804,1808,Fulani War,Sokoto Caliphate,Hausa Kingdoms,,https://en.wikipedia.org/wiki/Fulani_War,,19250.0
1804,1813,"Russo-Persian War
(1804–1813)
",Russian Empire,Qajar dynasty,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Russo-Persian_War_(1804%E2%80%931813),https://en.wikipedia.org/wiki/Russo-Persian_War_(1804%E2%80%931813),97737.0
1805,1811,"Egyptian Revolution
","Albanian forces of
Muhammad Ali","Ottoman Empire
Mamluk Forces","Napoleonic
Wars",https://en.wikipedia.org/wiki/Muhammad_Ali's_seizure_of_power,https://en.wikipedia.org/wiki/Napoleonic_Wars,23612.0
1805,1805,Janissaries' Revolt,Ottoman Empire,Janissaries,,https://en.wikipedia.org/wiki/Janissaries'_Revolt,,1872.0
,,,,,,,,
1805,1810,"Franco-Swedish War
",France,Sweden,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Franco-Swedish_War,https://en.wikipedia.org/wiki/Napoleonic_Wars,34836.0
1805,1805,"Haitian invasion of
Santo Domingo","France
Spain
Captaincy General
of Santo Domingo",First Empire of Haiti,,https://en.wikipedia.org/wiki/History_of_the_Dominican_Republic#Eighteenth_century,https://en.wikipedia.org/wiki/Captaincy_General_of_Santo_Domingo,153853.0
1806,1807,"War of the Fourth
Coalition
","French Empire and allies:
France
Confederation of the
Rhine
Bavaria
Württemberg
Saxony (from Dec.
1806)
Polish Legions
Italy
Naples
Etruria
Holland
Swiss Confederation
Spain","Prussia
Russia
United Kingdom
Saxony (1806 only)
Sweden
Sicily","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Fourth_Coalition,258825.0
1806,1812,"Russo-Turkish War
(1806–1812)
",Russian Empire,Ottoman Empire,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Russo-Turkish_War_(1806%E2%80%931812),https://en.wikipedia.org/wiki/Russo-Turkish_War_(1806%E2%80%931812),101465.0
1806,1807,"British invasions of the
Río de la Plata","Spain
Río de la Plata
Viceroyalty",United Kingdom,,https://en.wikipedia.org/wiki/British_invasions_of_the_R%C3%ADo_de_la_Plata,https://en.wikipedia.org/wiki/British_invasions_of_the_R%C3%ADo_de_la_Plata,30670.0
1806,1807,Ashanti–Fante War,"Ashanti Empire
Holland","Fante Confederacy
United Kingdom",,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Fante_War,,16977.0
1806,1811,"War of Christophe's
Secession",Forces of Henri Christophe,Forces of Alexandre Pétion,,https://en.wikipedia.org/wiki/Henri_Christophe#State_and_Kingdom_of_Haiti,https://en.wikipedia.org/wiki/Henri_Christophe#State_and_Kingdom_of_Haiti,183488.0
1806,1806,Vellore Mutiny,British East India Company,Vellore Sepoys,,https://en.wikipedia.org/wiki/Vellore_Mutiny,,68624.0
1807,1809,"Anglo-Turkish War
(1807–1809)
",Ottoman Empire,United Kingdom,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Anglo-Turkish_War_(1807%E2%80%931809),https://en.wikipedia.org/wiki/Anglo-Turkish_War_(1807%E2%80%931809),54411.0
1807,1807,"Alexandria expedition
of 1807",Egypt,British Empire,,https://en.wikipedia.org/wiki/Alexandria_expedition_of_1807,https://en.wikipedia.org/wiki/Alexandria_expedition_of_1807,34677.0
1807,1807,Tican's rebellion,Austrian Empire,Serbian Rebels,,https://en.wikipedia.org/wiki/Tican's_rebellion,,3357.0
1807,1807,Froberg mutiny,British Empire,Navy Mutineers,,https://en.wikipedia.org/wiki/Froberg_mutiny,,13550.0
,,,,,,,,
1807,1807,"Brazilian slave revolt of
1807",Colonial Brazil,Rebels,,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1807,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1807,1819.0
1807,1808,Janissaries' Revolt,Ottoman Empire,Janissaries,,https://en.wikipedia.org/wiki/Janissaries'_Revolt,,1872.0
1807,1814,"Gunboat War
",United Kingdom,Denmark–Norway,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Gunboat_War,https://en.wikipedia.org/wiki/Napoleonic_Wars,62790.0
1807,1812,"Anglo-Russian War
(1807–1812)
",United Kingdom,Russian Empire,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Anglo-Russian_War_(1807%E2%80%931812),https://en.wikipedia.org/wiki/Anglo-Russian_War_(1807%E2%80%931812),76933.0
1807,1807,Basi Revolt,Spain,Rebels,,https://en.wikipedia.org/wiki/Basi_Revolt,,3155.0
1807,1814,"Peninsular War
","Portugal
United Kingdom
Spain",France,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Peninsular_War,https://en.wikipedia.org/wiki/Napoleonic_Wars,871489.0
1807,1818,"Mtetwa Empire
Expansion",Mthethwa Paramountcy,Other Tribes,,https://en.wikipedia.org/wiki/Mthethwa_Paramountcy,https://en.wikipedia.org/wiki/Mthethwa_Paramountcy,21589.0
1807,1842,"New Zealand Musket
Wars",Māori,Māori,,https://en.wikipedia.org/wiki/Musket_Wars,https://en.wikipedia.org/wiki/Musket_Wars,108349.0
1807,1808,"Ottoman coups of
1807–08",Pro-reform factions,"Anti-reform factions
Janissaries",,https://en.wikipedia.org/wiki/Ottoman_coups_of_1807%E2%80%9308,https://en.wikipedia.org/wiki/Ottoman_coups_of_1807%E2%80%9308,5215.0
1808,1810,Rum Rebellion,United Kingdom,New South Wales Corps,,https://en.wikipedia.org/wiki/Rum_Rebellion,,109462.0
1808,1809,Finnish War,Russian Empire,Sweden,,https://en.wikipedia.org/wiki/Finnish_War,,191343.0
1808,1809,"Spanish reconquest of
Santo Domingo
","Spain
Santo Domingo
British Empire",France,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Spanish_reconquest_of_Santo_Domingo,https://en.wikipedia.org/wiki/Spanish_reconquest_of_Santo_Domingo,24835.0
1808,1809,"Dano-Swedish War of
1808–1809
","Denmark–Norway
France","Sweden
United Kingdom","Napoleonic
Wars",https://en.wikipedia.org/wiki/Dano-Swedish_War_of_1808%E2%80%931809,https://en.wikipedia.org/wiki/Dano-Swedish_War_of_1808%E2%80%931809,14391.0
1808,1809,Travancore Rebellion,British Empire,"Travancore
Kingdom of Cochin",,https://en.wikipedia.org/wiki/Travancore_rebellion,,9816.0
1809,1809,Gurkha-Sikh War,Sikh Empire,Nepal,,https://en.wikipedia.org/wiki/Gurkha-Sikh_War,,5247.0
1809,1809,"Persian Gulf campaign
of 1809","United Kingdom
East India Company",Al Qasimi,,https://en.wikipedia.org/wiki/Persian_Gulf_campaign_of_1809,https://en.wikipedia.org/wiki/Persian_Gulf_campaign_of_1809,30035.0
1809,1809,Coup of 1809,Men of 1809,Sweden,,https://en.wikipedia.org/wiki/Coup_of_1809,,28310.0
1809,1809,"War of the Fifth
Coalition
","France
Duchy of Warsaw
Confederation of the
Rhine
Kingdom of Bavaria
Saxony
Württemberg
Westphalia
Italy
Naples
Swiss Confederation","Austria
Tyrol
Hungary
United Kingdom
Black Brunswickers
Sardinia
Sicily","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Fifth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Fifth_Coalition,237925.0
,,,Holland,,,,,
1809,1809,"1809 Gottscheer
Rebellion",France,Gottschee peasants,,https://en.wikipedia.org/wiki/1809_Gottscheer_Rebellion,https://en.wikipedia.org/wiki/1809_Gottscheer_Rebellion,1935.0
1809,1809,"Tyrol Rebellion
","Kingdom of Bavaria
First French Empire
Kingdom of Italy","Austrian Empire
Tyrolean Rebels","Napoleonic
Wars",https://en.wikipedia.org/wiki/Tyrol_Rebellion,https://en.wikipedia.org/wiki/Napoleonic_Wars,858.0
1809,1812,"Quito Revolution
(1809-1812)
",Spain,Rebels,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Quito_Revolution_(1809-1812),https://en.wikipedia.org/wiki/Quito_Revolution_(1809-1812),3601.0
1809,1812,"Burmese–Siamese
War (1809–1812)",Siam,Burmese Empire,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1809%E2%80%931812),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1809%E2%80%931812),10493.0
1809,1825,"Bolivian War of
Independence
",Bolivia,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Bolivian_War_of_Independence,https://en.wikipedia.org/wiki/Bolivian_War_of_Independence,45586.0
Start,Finish,Name of conflict,Belligerents,,,,,
,,,Victorious party (if applicable),Defeated party (if applicable),,,,
1810,1818,"Argentine War of
Independence
","United Provinces of the Río
de la Plata
Chile",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Argentine_War_of_Independence,https://en.wikipedia.org/wiki/Argentine_War_of_Independence,118679.0
1810,1825,"Colombian War of
Independence
",Gran Colombia,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Colombian_War_of_Independence,https://en.wikipedia.org/wiki/Colombian_War_of_Independence,92395.0
1810,1811,"Tecumseh's War
","United States
Chief Black Hoof",Tecumseh's Confederacy,"War of
1812",https://en.wikipedia.org/wiki/Tecumseh's_War,https://en.wikipedia.org/wiki/War_of_1812,82904.0
1810,1810,"US occupation of West
Florida",United States,Spain,,https://en.wikipedia.org/wiki/West_Florida_Controversy,https://en.wikipedia.org/wiki/West_Florida_Controversy,18009.0
1810,1820,Punjab War,Sikh Empire,"British East India
Company
British Empire",,,,
1810,1826,"Chilean War of
Independence
","Chile
United Provinces of the
Río de la Plata","Spain
Mapuche allies","Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Chilean_War_of_Independence,https://en.wikipedia.org/wiki/Chilean_War_of_Independence,597593.0
1810,1810,Conquest of Hawaii,Kingdom of Hawaii,Other Hawaiian Tribes,,https://en.wikipedia.org/wiki/Kamehameha_I#Unification_of_Hawai%CA%BBi,,1309728.0
1810,1818,Amadu's Jihad,Forces of Seku Amadu,Bamana Empire,,https://en.wikipedia.org/wiki/Seku_Amadu#Jihad,,13704.0
1810,1821,"Mexican War of
Independence
",Mexican Army,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Mexican_War_of_Independence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence,713372.0
1811,1812,"Cambodian rebellion
(1811–12)","Cambodian pro-Siamese
faction
Rattanakosin Kingdom
(Siam)","Cambodian pro-
Vietnamese faction
Nguyễn dynasty (Vietnam)",,https://en.wikipedia.org/wiki/Cambodian_rebellion_(1811%E2%80%9312),https://en.wikipedia.org/wiki/Cambodian_rebellion_(1811%E2%80%9312),3329.0
1811,1811,Battle of Khakeekera,"Bahrain
Kuwait",Diriyah,,https://en.wikipedia.org/wiki/Battle_of_Khakeekera,,8839.0
1811,1811,"1811 German Coast
uprising",United States,Rebel Slaves,,https://en.wikipedia.org/wiki/1811_German_Coast_uprising,https://en.wikipedia.org/wiki/1811_German_Coast_uprising,95376.0
1811,1811,"Invasion of Java
(1811)",British East India Company,France,,https://en.wikipedia.org/wiki/Invasion_of_Java_(1811),https://en.wikipedia.org/wiki/Invasion_of_Java_(1811),44352.0
1811,1811,Tonquin incident,United States,Tla-o-qui-aht,,https://en.wikipedia.org/wiki/Tonquin_(1807_ship),,14702.0
1811,1812,Fourth Xhosa War,Cape Colony,Xhosa Tribes,,https://en.wikipedia.org/wiki/Xhosa_Wars#Fourth_War_(1811%E2%80%9312),,132065.0
,,,,,,,,
1811,1811,Ga–Fante War,"Fante Confederacy
Akwapim Tribes
Akim Tribes","Ashanti Empire
Ga Tribes
British Empire
Dutch Empire",,https://en.wikipedia.org/wiki/Ga%E2%80%93Fante_War,,5860.0
1811,1815,Arakanese Uprising[5],Burmese Empire,Rohingya Insurgents,,,,
1811,1811,"Battle of Las Piedras
","Forces of José Gervasio
Artigas",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Battle_of_Las_Piedras_(1811),https://en.wikipedia.org/wiki/Spanish_American_wars_of_independence,16542.0
1811,1812,Cambodian Rebellion,"Viet Nam
Kingdom of Cambodia","Forces of Khmer
Pretender Ang Snguon
Siam",,https://en.wikipedia.org/wiki/Cambodian_Rebellion_(1811%E2%80%9312),,1055.0
1811,1811,Paraguayan Revolt,Paraguay,Viceroyalty of Peru,,https://en.wikipedia.org/wiki/Paraguayan_Revolt,,841.0
1811,1818,Wahhabi War,Ottoman Empire,First Saudi State,,https://en.wikipedia.org/wiki/Wahhabi_War,,30455.0
1811,1823,"Venezuelan War of
Independence
","Venezuela
Gran Colombia
British Empire
New Granada",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Venezuelan_War_of_Independence,https://en.wikipedia.org/wiki/Venezuelan_War_of_Independence,108801.0
1811,1826,"Peruvian War of
Independence
","Peru
United Provinces of the Río
de la Plata
Gran Colombia
Chile
British Empire",Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Peruvian_War_of_Independence,https://en.wikipedia.org/wiki/Peruvian_War_of_Independence,90670.0
1812,1812,Battle of Shela,Lamu,"Mombasa
Pate",,https://en.wikipedia.org/wiki/Battle_of_Shela,,5056.0
1812,1812,"Hong Gyeong-Rae's
Rebellion",Joseon dynasty,"Forces loyal to Hong Gyeong-
nae",,https://en.wikipedia.org/wiki/Hong_Gyeong-Rae's_Rebellion,https://en.wikipedia.org/wiki/Hong_Gyeong-Rae's_Rebellion,1525.0
1812,1812,Aponte conspiracy,Spain,Slaves,,https://en.wikipedia.org/wiki/Aponte_conspiracy,,13323.0
1812,1812,"French invasion of
Russia
",Russian Empire,"France
Duchy of Warsaw
Italy
Naples
Confederation of the Rhine
Baden
Bavaria
Berg
Saxony
Westphalia
Spain
Swiss Confederation","Napoleonic
Wars",https://en.wikipedia.org/wiki/French_invasion_of_Russia,https://en.wikipedia.org/wiki/French_invasion_of_Russia,910792.0
,,,,"Allies:
Austria
Prussia",,,,
1812,1814,"War of the Sixth
Coalition
","Original Coalition:
Russian Empire
Kingdom of Prussia
Austrian Empire
Sweden
United Kingdom of Great
Britain and Ireland
Spain
Kingdom of Portugal
Sicily
Kingdom of Sardinia
After Battle of Leipzig:
Kingdom of Saxony
Kingdom of Bavaria
Württemberg","France
Kingdom of Italy
(Napoleonic)
Duchy of Warsaw
Naples
Until January 1814
Denmark–Norway
Swiss Confederation
Confederation of the Rhine
(Many member states defected after
Battle of Leipzig)","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,386627.0
1812,1815,War of 1812,"British Empire
United States
United States","British Empire
United States
United States",,https://en.wikipedia.org/wiki/War_of_1812,,2853149.0
1812,1821,Pemmican War,"North West Company
Métis","Hudson's Bay Company
Selkirk's settlers",,https://en.wikipedia.org/wiki/Pemmican_War,,45517.0
1813,1813,"Eight Trigrams uprising
of 1813",Qing dynasty,Eight Trigram Sect,,https://en.wikipedia.org/wiki/Eight_Trigrams_uprising_of_1813,https://en.wikipedia.org/wiki/Eight_Trigrams_uprising_of_1813,19276.0
1813,1837,Afghan-Sikh Wars,Sikh Empire,"Durrani Empire
Emirate of Afghanistan",,https://en.wikipedia.org/wiki/Afghan-Sikh_Wars,,12428.0
1813,1814,Creek War,"United States
Lower Creeks
Cherokees
Choctaws","""Red Sticks"" (Creek Indians)",,https://en.wikipedia.org/wiki/Creek_War,,121832.0
1813,1813,Peoria War,United States,"Kickapoo Nation
Potawatomi Nation",,https://en.wikipedia.org/wiki/Peoria_War,,5254.0
1814,1814,"Brazilian slave revolt of
1814",Colonial Brazil,Rebels,,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1814,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1814,1819.0
1814,1814,"Swedish–Norwegian
War
",Sweden,Norway,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Swedish%E2%80%93Norwegian_War_(1814),https://en.wikipedia.org/wiki/Swedish%E2%80%93Norwegian_War_(1814),34429.0
1814,1816,Anglo-Nepalese War,"British East India Company
Forces of the Chogyal",Nepal,,https://en.wikipedia.org/wiki/Anglo-Nepalese_War,,151567.0
1814,1816,"Ashanti–Akim–
Akwapim War",Ashanti Empire,"Akwapim Tribes
Akim Tribes",,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Akim%E2%80%93Akwapim_War,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Akim%E2%80%93Akwapim_War,7977.0
,,,,,,,,
1814,1814,"Hadži Prodan's Revolt
",Ottoman Empire,"Forces of Hadži Prodan
Gligorijevic","Serbian
Revolution",https://en.wikipedia.org/wiki/Had%C5%BEi_Prodan's_Revolt,https://en.wikipedia.org/wiki/Serbian_Revolution,4092.0
1814,1880,Argentine Civil Wars,"Federalists
Blancos","Unitarios
Colorados",,https://en.wikipedia.org/wiki/Argentine_Civil_Wars,,69762.0
1815,1815,"Slachter's Nek
Rebellion",United Kingdom,Boer Rebels,,https://en.wikipedia.org/wiki/Slachter's_Nek_Rebellion,https://en.wikipedia.org/wiki/Slachter's_Nek_Rebellion,20473.0
1815,1815,Second Barbary War,"United States
United Kingdom of the
Netherlands
United Kingdom (from
1815)","Barbary States
Ottoman Empire",,https://en.wikipedia.org/wiki/Second_Barbary_War,,148906.0
1815,1815,Second Kandyan War,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/Second_Kandyan_War,,2639.0
1815,1815,"Hundred Days
War of the Seventh
Coalition","United Kingdom
Kingdom of Prussia
Kingdom of France
Kingdom of Hanover
German Confederation
Austrian Empire
Russian Empire
Sweden
Netherlands
Spain
Kingdom of Portugal
Kingdom of Sardinia
Kingdom of the Two
Sicilies
Grand Duchy of
Tuscany","First French Empire
Napoleonic Kingdom
of Naples",,https://en.wikipedia.org/wiki/Hundred_Days,,553485.0
1815,1815,"Neapolitan War
","Austrian Empire
Kingdom of the Two
Sicilies
Grand Duchy of
Tuscany
United Kingdom","Napoleonic Kingdom of
Naples","Hundred
Days",https://en.wikipedia.org/wiki/Neapolitan_War,,54472.0
1815,1815,Temne-Susu War[6],Kingdom of Koya,Susu Tribes,,,,
1815,1816,"Spanish reconquest of
New Granada
",Spanish Empire,"United Provinces of New
Granada","Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Spanish_reconquest_of_New_Granada,https://en.wikipedia.org/wiki/Spanish_reconquest_of_New_Granada,27287.0
1815,1817,"Second Serbian
Uprising
",Principality of Serbia,Ottoman Empire,"Serbian
Revolution",https://en.wikipedia.org/wiki/Second_Serbian_Uprising,https://en.wikipedia.org/wiki/Second_Serbian_Uprising,54882.0
,,,,,,,,
1816,1816,Bussa's Rebellion,British Empire,Barbadian slaves,,https://en.wikipedia.org/wiki/Bussa's_Rebellion,,3372.0
1816,1816,"Bombardment of
Algiers",British Empire,"Ottoman Empire
Algiers",,https://en.wikipedia.org/wiki/Bombardment_of_Algiers_(1816),https://en.wikipedia.org/wiki/Bombardment_of_Algiers_(1816),71677.0
1816,1820,"Luso-Brazilian
conquest of the Banda
Oriental","United Kingdom of Portugal,
Brazil and the Algarves",Federal League,,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Banda_Oriental,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Banda_Oriental,27316.0
1816,1857,Afaqi Khoja revolts,Qing dynasty,"Aq Taghlik Khojas
Supported by: Kokand
Khanate",,https://en.wikipedia.org/wiki/Afaqi_Khoja_revolts,,15758.0
1817,1817,Pernambucan Revolt,"United Kingdom of Portugal,
Brazil and the Algarves",Pernambuco rebels,,https://en.wikipedia.org/wiki/Pernambucan_Revolt,,4860.0
1817,1817,Pentrich rising,British Empire,Tax resisters,,https://en.wikipedia.org/wiki/Pentrich_rising,,20414.0
1817,1818,"Third Anglo-Maratha
War",British East India Company,Maratha Confederacy,,https://en.wikipedia.org/wiki/Third_Anglo-Maratha_War,https://en.wikipedia.org/wiki/Third_Anglo-Maratha_War,192097.0
1817,1818,"First Seminole War
",United States,Seminole Tribes,"Seminole
Wars",https://en.wikipedia.org/wiki/First_Seminole_War,https://en.wikipedia.org/wiki/Seminole_Wars,25974.0
1817,1818,Uva Rebellion,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/Uva_Rebellion,,6822.0
1817,1819,Ndwandwe–Zulu War,Forces of Shaka Zulu,Forces of King Zwide,,https://en.wikipedia.org/wiki/Ndwandwe%E2%80%93Zulu_War,,36264.0
1817,1826,"Burmese invasions of
Assam",Burmese Empire,"Kingdom of Ahom
Kingdom of Manipur",,https://en.wikipedia.org/wiki/Burmese_invasions_of_Assam,https://en.wikipedia.org/wiki/Burmese_invasions_of_Assam,44495.0
1817,1864,Caucasian War,Russian Empire,"Avar Khanate
Circassia
Kingdom of Kartli-
Kakheti
Caucasian Imamate
Other Tribes of the North
Caucasus",,https://en.wikipedia.org/wiki/Caucasian_War,,168585.0
1818,1818,Akure–Benin War,Benin Kingdom,Akure Kingdom,,https://en.wikipedia.org/wiki/Akure%E2%80%93Benin_War,,11403.0
1818,1819,Fifth Xhosa War,"British Empire
Khoikhoi Forces","Forces of Xhosa Chief Maqana
Nxele",,https://en.wikipedia.org/wiki/Fifth_Xhosa_War,,873.0
1818,1828,Zulu wars of conquest,Zulu Kingdom,"Other remnants of the Mtetwa
Paramountcy",,https://en.wikipedia.org/wiki/Zulu_wars_of_conquest,,1855.0
1819,1820,"Bolívar's campaign to
liberate New Granada
","United Provinces of New
Granada",Spain,"Venezuelan
War of Independence",https://en.wikipedia.org/wiki/Bol%C3%ADvar's_campaign_to_liberate_New_Granada,https://en.wikipedia.org/wiki/Bol%C3%ADvar's_campaign_to_liberate_New_Granada,38914.0
1819,1819,Chuguev uprising,Russian Empire,Chuguev Regiment,,https://en.wikipedia.org/wiki/Chuguev_uprising,,4163.0
Start,Finish,Name of conflict,Belligerents,,,,,
,,,"Victorious party (if
applicable)",Defeated party (if applicable),,,,
1820,1820,Revolution of 1820,Kingdom of the Two Sicilies,Carbonari,,https://en.wikipedia.org/wiki/Ferdinand_I_of_the_Two_Sicilies#1820_revolution,,270241.0
1820,1820,"Cambodian rebellion
(1820)","Cambodian pro-Siamese
faction
Rattanakosin Kingdom
(Siam)",Khmer anti-Vietnamese rebels,,https://en.wikipedia.org/wiki/Cambodian_rebellion_(1820),https://en.wikipedia.org/wiki/Cambodian_rebellion_(1820),5765.0
1820,1824,"Turco-Egyptian
conquest of Sudan
(1820-1824)",Egypt Eyalet,"Funj Sultanate
Sultanate of Darfur Shaigiya
tribe",,https://en.wikipedia.org/wiki/Turco-Egyptian_conquest_of_Sudan_(1820-1824),https://en.wikipedia.org/wiki/Turco-Egyptian_conquest_of_Sudan_(1820-1824),829.0
1820,1821,Farhi family revolt,Ottoman Empire,Farhi family and its Rebels,,,,
