Start,End,Name of Conflict,Victors,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1917,1922,Russian Civil War,"Victorious in Russia, Ukraine,\nGeorgia, Armenia, Azerbaijan,\nKazakhstan, and Mongolia:\nRussian SFSR\nOther Soviet republics\nMongolian People's Party\nVictorious in their\nrespective countries:\nKingdom of Finland\nRepublic of Estonia\nRepublic of Latvia\nRepublic of Lithuania\nSecond Polish Republic",White Movement\nCentral Powers (until\n1918):\nAustro-Hungarian\nEmpire\nGerman Empire\nOttoman Empire\nAllied Forces (from\n1918):\nCzechoslovakia\nRepublic of China\nFrance\nKingdom of Greece\nKingdom of Italy\nEmpire of Japan\nPoland\nKingdom of\nRomania\nKingdom of Serbia\nUnited Kingdom\nAustralia\nCanada\nUnited States\nOther combatants:\nRevolutionary\nInsurrectionary Army of\nUkraine\nUkrainian People's\nRepublic\nDemocratic\nRepublic of Georgia\nDemocratic\nRepublic of Armenia\nVarious pro-\nindependence\nmovements,,https://en.wikipedia.org/wiki/Russian_Civil_War,,1442922.0
1904,1905,Russo-Japanese War,Empire of Japan,Russian Empire,,https://en.wikipedia.org/wiki/Russo-Japanese_War,,1356529.0
1917,1917,October Revolution\nPart of Russian Civil War,Bolsheviks,Russian Provisional\nGovernment,,https://en.wikipedia.org/wiki/October_Revolution,,1152651.0
1919,1921,Irish War of Independence,Irish Republic,United Kingdom,,https://en.wikipedia.org/wiki/Irish_War_of_Independence,,1119521.0
1923,1923,Beer Hall Putsch,Weimar Republic,Nazi Party,,https://en.wikipedia.org/wiki/Beer_Hall_Putsch,,1092696.0
1910,1920,Mexican Revolution,Maderistas\nOrozquistas\nVillistas\nZapatistas\nCarrancistas\nMagonistas\nSeditionistas,Mexico,,https://en.wikipedia.org/wiki/Mexican_Revolution,,1043026.0
1916,1916,Easter Rising,British Army\nDublin Metropolitan Police\nRoyal Irish Constabulary,Irish Republican\nBrotherhood\nIrish Volunteers\nIrish Citizen Army\nCumann na mBan\nHibernian Rifles\nFianna Éireann,,https://en.wikipedia.org/wiki/Easter_Rising,,1022316.0
1935,1937,Second Italo-Ethiopian War,Kingdom of Italy,Ethiopian Empire,,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War,,774080.0
1919,"1922
(Armistice)",Turkish War of Independence,Turkish National Movement,Greece\nFrance\nArmenia (in 1920),,https://en.wikipedia.org/wiki/Turkish_War_of_Independence,,712857.0
1941,1944,Continuation War\nPart of World War II,Soviet Union\nUnited Kingdom,Finland\nNazi Germany\nKingdom of Italy,,https://en.wikipedia.org/wiki/Continuation_War,https://en.wikipedia.org/wiki/World_War_II,705057.0
1922,1923,Irish Civil War,Pro-treaty forces,Anti-treaty forces,,https://en.wikipedia.org/wiki/Irish_Civil_War,,662730.0
1903,1903,Great Ming Uprising,Qing dynasty,Heavenly Kingdom of the\nGreat Mingshun,,https://en.wikipedia.org/wiki/1911_Revolution#Great_Ming_Uprising,,646585.0
1907,1907,Huanggang Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Huanggang_Uprising,,646585.0
1905,1905,Ping-liu-li Uprising,Qing dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Ping-liu-li_Uprising,,646585.0
1907,1907,Qinzhou Uprising,Qing Dynasty,Rebels,,https://en.wikipedia.org/wiki/1911_Revolution#Qinzhou_Uprising,,646585.0
1917,1917,February Revolution,Russian revolutionaries,Russian Empire,,https://en.wikipedia.org/wiki/February_Revolution,,627813.0
1931,1932,Japanese invasion of\nManchuria,Empire of Japan,Republic of China,,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria,600166.0
1943,1949,Ukrainian Insurgent Army\ninsurgency,Soviet Union\nPeople's Republic of\nPoland\nPolish Underground\nState\nNazi Germany (1941–\n1944),Ukrainian Insurgent Army,,https://en.wikipedia.org/wiki/Ukrainian_Insurgent_Army,,556221.0
1919,1921,Polish–Soviet War,Republic of Poland\nUkrainian People's\nRepublic,Russian SFSR\nUkrainian SSR,,https://en.wikipedia.org/wiki/Polish%E2%80%93Soviet_War,,538024.0
1944,1945,Lapland War\nPart of World War II,Finland,Nazi Germany,,https://en.wikipedia.org/wiki/Lapland_War,https://en.wikipedia.org/wiki/World_War_II,515124.0
1916,1918,Arab Revolt\nPart of World War I,Hashemite Arabs\nUnited Kingdom\nSultanate of Nejd\n(Unification of Saudi Arabia),Ottoman Empire,,https://en.wikipedia.org/wiki/Arab_Revolt,,508098.0
1912,1913,First Balkan War,Kingdom of Bulgaria\nKingdom of Greece\nKingdom of Serbia\nKingdom of Montenegro,Ottoman Empire,,https://en.wikipedia.org/wiki/First_Balkan_War,,482956.0
1919,1922,Greco-Turkish War (1919–1922)\n,Turkish National Movement\nSupported by:\nRussian SFSR,Kingdom of Greece\nSupported by:\nUnited Kingdom\nArmenian volunteers,Turkish War of\nIndependence,https://en.wikipedia.org/wiki/Greco-Turkish_War_(1919%E2%80%931922),,468915.0
1926,1929,Cristero War,Mexico,Cristeros,,https://en.wikipedia.org/wiki/Cristero_War,,464902.0
1936,1939,1936–1939 Arab revolt in\nPalestine\n,United Kingdom\nBritish Army\nPalestine Police Force\nJewish Settlement Police\nJewish Supernumerary Police\nHaganah\nSpecial Night Squads\nFOSH\nPeulot Meyuhadot\nIrgun\nPeace Bands,Arab Higher Committee,Intercommunal\nconflict in Mandatory\nPalestine,https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine,https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine,417345.0
1919,1920,Italo-Yugoslav War,Kingdom of Italy\nFree State of Fiume,"Kingdom of Serbs,\nCroats and Slovenes",,https://en.wikipedia.org/wiki/Rijeka#The_%22Fiume_Question%22_and_the_Italian-Yugoslav_dispute,,408607.0
1918,1918,Finnish Civil War,Finnish White Guards\nGerman Empire,Finnish Red Guards\nRussian SFSR,,https://en.wikipedia.org/wiki/Finnish_Civil_War,,407231.0
1905,1907,Russian Revolution of\n1905,Russian Empire,Revolutionaries,,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,https://en.wikipedia.org/wiki/Russian_Revolution_of_1905,388403.0
1911,1912,Italo-Turkish War,Kingdom of Italy,Ottoman Empire,,https://en.wikipedia.org/wiki/Italo-Turkish_War,,367809.0
1941,1941,Anglo-Iraqi War\nPart of World War II,United Kingdom\nBritish India\nTransjordan,Kingdom of Iraq\nNazi Germany\nKingdom of Italy,,https://en.wikipedia.org/wiki/Anglo-Iraqi_War,https://en.wikipedia.org/wiki/World_War_II,324726.0
1913,1913,Second Balkan War,Ottoman Empire\nKingdom of Greece\nKingdom of Serbia\nKingdom of Montenegro\nKingdom of Romania,Kingdom of Bulgaria,,https://en.wikipedia.org/wiki/Second_Balkan_War,,313617.0
1920,1926,Rif War,France\nSpain,Rif Republic,,https://en.wikipedia.org/wiki/Rif_War,,299098.0
1926,1928,Northern Expedition\n,Republic of China,Beiyang Government,Warlord Era,https://en.wikipedia.org/wiki/Northern_Expedition,https://en.wikipedia.org/wiki/Warlord_Era,288906.0
1915,1934,United States occupation of Haiti\n,United States,Haiti,Banana Wars,https://en.wikipedia.org/wiki/United_States_occupation_of_Haiti,,287334.0
1921,1921,Kronstadt rebellion\n,Russian SFSR,Anarchist sailors,Russian Civil War,https://en.wikipedia.org/wiki/Kronstadt_rebellion,,284874.0
1932,1935,Chaco War,Paraguay,Bolivia,,https://en.wikipedia.org/wiki/Chaco_War,,267510.0
1 November 1955,30 April 1975,Vietnam War\n,North Vietnam\nViet Cong and PRG\nPathet Lao\nKhmer Rouge\nGRUNK (from 1970)\nChina (1965–1969)\nSoviet Union\nNorth Korea,South Vietnam\nUnited States\nSouth Korea\nAustralia\nNew Zealand\nLaos\nCambodia (1967–1970)\nKhmer Republic (1970–\n1975)\nThailand\nPhilippines\nTaiwan\nSpain,Indochina Wars\nand the Cold War in Asia,https://en.wikipedia.org/wiki/Vietnam_War,https://en.wikipedia.org/wiki/Indochina_Wars,8044273.0
25 June 1950,27 July 1953,Korean War\n,South Korea\nUnited Nations[j]\nUnited States\n... see other countries,North Korea\nChina\nSoviet Union\n(air support only),Cold War and the\nKorean conflict,https://en.wikipedia.org/wiki/Korean_War,https://en.wikipedia.org/wiki/Cold_War,4546373.0
1948,1950,Pre-Korean War\ninsurgency[23],South Korea,Anti-government insurgents\nPro-North Korean rebels,,https://en.wikipedia.org/wiki/Korean_War,https://en.wikipedia.org/wiki/Korean_War#Communist_insurgency_in_South_Korea_(1948%E2%80%931950),4546373.0
1960s,1998[u],The Troubles,Irish republican paramilitaries:\nProvisional IRA (PIRA)\nIrish National Liberation\nArmy (INLA)\nOfficial IRA (OIRA)\nContinuity IRA (CIRA)\nReal IRA (RIRA)\nIrish People's Liberation\nOrganisation (IPLO)\nUlster loyalist paramilitaries:\nUlster Defence Association\n(UDA)\nUlster Volunteer Force (UVF)\nRed Hand Commando\n(RHC)\nUlster Resistance (UR)\nLoyalist Volunteer Force\n(LVF)\nUlster Protestant Volunteers\n(UPV),State security forces:\nBritish Armed Forces\nRoyal Ulster Constabulary\nIrish Defence Forces\nGardaí,,https://en.wikipedia.org/wiki/The_Troubles,,3557006.0
1978,1979,Iranian Revolution\nPart of Constitutionalization attempts\nin Iran and the Cold War,Revolutionary Council\nIslamist Opposition\nCombatant Clergy Association\nIslamic Association of Students\nIslamic Association of Teachers\nIslamic Association of Engineers\nIslamic Association of Physicians\nIslamic Coalition Societies\nFada'iyan-e Islam\nMojahedin\nLiberal Democratic Opposition\nFreedom Movement of Iran\nNational Front\nJAMA\nDemocratic Party of Iranian Kurdistan\nConfederation of Iranian Students\nLeftist Opposition\nMojahedin-e-Khalq\nFadaiyan-e-Khalq\nTudeh Party\nSarbedaran\nPeykar\nMovement of Militant Muslims\nRazmandegan\nWorker's Way\nKomalah,Imperial State of Iran\nPro-Shah Groups\nRegency Council[ab]\nRastakhiz Party (until 1 November\n1978)\nImperial Army[ac]\nImperial Guard\nSAVAK\nShahrbani\nGendarmerie,,https://en.wikipedia.org/wiki/Iranian_Revolution,https://en.wikipedia.org/wiki/Constitutionalization_attempts_in_Iran,3104130.0
1947,Ongoing,Indo-Pakistani wars and\nconflicts\n,India\nBangladesh (1971)[9],Pakistan\nAlleged proxies:\nKashmiri insurgents (1989–present)\nJammu Kashmir\nLiberation Front\nLashkar-e-Taiba\nJaish-e-Mohammed\nUnited Jihad Council\nHizbul Mujahideen\nPeople's Anti-Fascist Front\nThe Resistance Front\nDukhtaran-e-Millat[10]\nHarkat-ul-Mujahideen,Kashmir\nconflict and the Cold\nWar,https://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts,https://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts,3028703.0
1980,1988,Iran–Iraq War\n,Iran\nKDP\nPUK\nISCI\nIslamic Dawa Party\nHezbollah[531]\nShia volunteers[ae],Iraq\nDRFLA[538][539]\nMEK\nNCRI\nPDKI[540]\nSalvation Force[541]\nArab volunteers[af],"Cold War, the aftermath of the Iranian\nrevolution, the Iraqi–Kurdish conflict, and the Iran–\nSaudi Arabia proxy conflict",https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,https://en.wikipedia.org/wiki/Cold_War,2866433.0
1982,1982,Falklands War\n,United Kingdom,Argentina,Falkland Islands sovereignty dispute,https://en.wikipedia.org/wiki/Falklands_War,https://en.wikipedia.org/wiki/Falkland_Islands_sovereignty_dispute,2618651.0
1967,1967,Six-Day War\n,Israel,Egypt\nSyria\nJordan\nIraq[299]\nMinor involvement:\nLebanon[300],Arab–\nIsraeli conflict and the\nCold War,https://en.wikipedia.org/wiki/Six-Day_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict,2551152.0
1973,1973,Yom Kippur War\n,Israel,Egypt\nSyria\nExpeditionary forces\nSaudi Arabia[392]\nAlgeria[393]\nJordan\nLibya\nIraq\nKuwait[394]\nTunisia\nMorocco[395]\nCuba\nNorth Korea[396],Arab–Israeli conflict\nand the Cold War,https://en.wikipedia.org/wiki/Yom_Kippur_War,https://en.wikipedia.org/wiki/Arab%E2%80%93Israeli_conflict,2293855.0
1979,1989,Soviet–Afghan War\n,Afghan mujahideen,Soviet Union\nAfghanistan,Cold War and the\nAfghan conflict,https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War,https://en.wikipedia.org/wiki/Cold_War,2038636.0
1961,1961,Bay of Pigs Invasion\n,Cuba,United States\nCuban DRF,Cold War and\nthe Consolidation of the\nCuban Revolution,https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion,https://en.wikipedia.org/wiki/Cold_War,1818269.0
1953,1953,1953 Iranian coup d'état\n,House of Pahlavi\nsupporters\nUnited States[l]\nUnited Kingdom[l],Iranian Government\nsupporters,Abadan Crisis and\nthe Cold War,https://en.wikipedia.org/wiki/1953_Iranian_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Abadan_Crisis,1655521.0
1956,1956,Suez Crisis\n,Israel\nUnited Kingdom\nFrance,Egypt,Cold War\nand the Arab–Israeli\nconflict,https://en.wikipedia.org/wiki/Suez_Crisis,https://en.wikipedia.org/wiki/Cold_War,1622516.0
1989,1990,United States invasion of Panama\nthe war on drugs and Cold War,United States,Panama,,https://en.wikipedia.org/wiki/United_States_invasion_of_Panama,https://en.wikipedia.org/wiki/War_on_drugs,1581091.0
1945,1949,Chinese Civil War\n(second phase)\n,1945–1949\nYan'an Soviet\nPeople's\nRepublic of China\n(1949)\nChinese\nCommunist\nParty\nPeople's\nLiberation Army,1945–1949\nRepublic of China\nKuomintang\nRepublic of China\nArmed Forces,Chinese\nCommunist Revolution\nand the Cold War,https://en.wikipedia.org/wiki/Chinese_Civil_War,https://en.wikipedia.org/wiki/Chinese_Communist_Revolution,1569753.0
1948,1949,1948 Arab–Israeli War\n,Israel\nBefore 26 May 1948:\nYishuv\nParamilitary groups:\nHaganah\nPalmach\nHish\nHim\nIrgun\nLehi\nAllied Bedouin\ntribes[17][18]\nAfter 26 May 1948:\nIsrael Defense Forces\nMinorities Unit\nForeign volunteers:\nMahal,Arab League:\nEgypt[19]\nAll-Palestine\nProtectorate[h]\nHoly War Army[h]\nTransjordan[19]\nIraq[19]\nSyria[19]\nLebanon[i]\nSaudi Arabia[21]\nYemen[22]\nIrregulars:\nArab Liberation Army\nAl-Najjada\nHoly War Army,1948 Palestine\nwar and the Arab–Israeli\nconflict,https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War,https://en.wikipedia.org/wiki/1948_Palestine_war,1440564.0
1962,1962,Sino-Indian War\n,China,India,Sino-Indian\nborder dispute,https://en.wikipedia.org/wiki/Sino-Indian_War,https://en.wikipedia.org/wiki/Sino-Indian_border_dispute,1155926.0
1964,1979,Rhodesian Bush War\n,ZANU (ZANLA)[208]\nZAPU (ZIPRA)\nMozambique[209]\nANC (MK)[209]\nZambia[210],Rhodesia\n(1964–1979)\nZimbabwe Rhodesia\n(1979)\nPortugal\n(1964–1974)[r]\nSouth Africa\n(from 1967)[211],Cold War and\ndecolonisation of Africa,https://en.wikipedia.org/wiki/Rhodesian_Bush_War,https://en.wikipedia.org/wiki/Cold_War,1074466.0
1975,1990[Note 1],Lebanese Civil War\n,Lebanese Front\nKataeb Party\nLebanese Forces\nMarada Brigades (until 1978)\nGuardians of the Cedars\nAl-Tanzim\nLebanese Youth Movement (MKG)\nTyous Team of Commandos\nZahliote Group\nShuraya Party\nVanguard of the Maani Army (MDJ)\n(Other minor organizations)\nArmy of Free Lebanon (until 1977)\nSLA (from 1976)\nIsrael (from 1978)\nTigers Militia (until 1980),"Lebanese National Movement (1975–\n1982)\nJammoul (1982–1990)\nAl-Mourabitoun\nProgressive Socialist Party (PSP)\nLebanese Communist Party (LCP)\nSyrian Social Nationalist Party in\nLebanon (SSNP)\nCommunist Action Organization in\nLebanon (OCAL)\nLebanese Movement in Support of\nFatah (LMSF)\nArab Socialist Ba'ath Party – Lebanon\nRegion\nRevolutionary Communist Group\nSixth of February Movement\nSocialist Arab Lebanon Vanguard\nParty (SALVP)\nPopular Nasserist Organization\n(PNO)\nLebanese Arab Army (LAA)\nOther minor organizations\nPLO (1975–1983)\nASALA\nHezbollah (1985–1990)\nIran (from 1980, mainly IRGC\nand Army paramilitary units)\nIslamic Unification Movement (from\n1982)\nSyria (1976, 1983–1991)\nAmal Movement\nPNSF\nMarada Brigades (left LF in\n1978; aligned with Syria)\nLebanese Armed Forces\nUNIFIL (from 1978)\nMultinational Force in Lebanon\n(1982–1984)\nUnited States\nUK\nFrance\nItaly","Cold War, Arab Cold War,\nArab–Israeli conflict, Iran–Israel and\nIran–Saudi proxy wars",https://en.wikipedia.org/wiki/Lebanese_Civil_War,https://en.wikipedia.org/wiki/Cold_War,1066607.0
1953,1959,Cuban Revolution,26th of July Movement\nRevolutionary Directorate\nof March 13th\nSecond National Front of\nEscambray,Cuba\nCuban Constitutional\nArmy,,https://en.wikipedia.org/wiki/Cuban_Revolution,,1061333.0
1971,1971,Bangladesh Liberation War\n,Bangladesh\nIndia (3–16 Dec.),Pakistan,"independence of\nBangladesh, the Indo-Pakistani\nconflicts, and the Cold War",https://en.wikipedia.org/wiki/Bangladesh_Liberation_War,https://en.wikipedia.org/wiki/Independence_of_Bangladesh,1049856.0
1961,1962,French military rebellion in\nAlgeria[102][103]\n,France,OAS,Algerian War,https://en.wikipedia.org/wiki/Algerian_War,,1011686.0
1954,1962,Algerian War\n,FLN\nMNA\nPCA,French Fourth Republic\n(1954–1958)\nFrench Fifth Republic\n(1958–1962)\nLa Main Rouge\nMPC\nANPA\nFAF\n(1960–61)\nOAS\n(1961–62),Cold War and the\ndecolonisation of Africa,https://en.wikipedia.org/wiki/Algerian_War,https://en.wikipedia.org/wiki/Cold_War,1011686.0
1956,1956,Hungarian Revolution of\n1956\n,Soviet Union\nUntil 28 October:\nHungary\nFrom 4 November:\nKádár government,Hungarian\nrevolutionaries\nFrom 28 October:\nHungary (Nagy\ngovernment),Cold War,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,961887.0
1983,1983,United States invasion of Grenada\n,United States\nGrenadian Opposition\nCaribbean Peace Force:\nBarbados\nJamaica\nOrganisation of Eastern Caribbean\nStates\nAntigua and Barbuda\nDominica\nSaint Kitts and Nevis\nSaint Lucia\nSaint Vincent and the\nGrenadines,Grenada (PRG)\nCuba\nSoviet Union,Cold War,https://en.wikipedia.org/wiki/United_States_invasion_of_Grenada,https://en.wikipedia.org/wiki/Cold_War,933943.0
1967,1970,Nigerian Civil War\n,Nigeria\nEgypt[s]\nSupported by:\nUnited Kingdom[303]\nSoviet Union[304]\nEthiopia[305],Biafra\nRepublic of Benin (1967)\nSupported by:\nChina[306][307]\nTanzania[308][309][310]\nZambia\nGabon\nCôte d'Ivoire\nCovert support:\nFrance[311][312]\nPortugal[311][312]\nIsrael[311][312]\nSouth Africa[311][312]\nRhodesia[311][312],Cold War and\nthe decolonisation of Africa,https://en.wikipedia.org/wiki/Nigerian_Civil_War,https://en.wikipedia.org/wiki/Cold_War,931277.0
2011,2024,Syrian civil war,Ba'athist Syria\nHezbollah\nIran\nRussia (2015–present)\nSupport\nIraq (2017–19),Syria\n(Syrian o\nTurke\nSupport:\nQatar\nUnited\nSaudi A\nUnited\nFrance\nGovernm\nSupport:\nAl-Qae\nQatar (\nSaudi A\nTurkey\nIslam\nSupport\nAl-Qa\nRoja\nForces) (\nSupport:\nUnited\nRussia\nFrance\nPKK\nPUK (2\nKDP (2\nCJTF\nParticipan\nUnited\nFrance\nUnited\nJordan\nGerma\nNether\nUnited\nSaudi A\nAustra\nBelgium\nBahrai\nDenma\nMorocc\nQatar (\nCanad,,https://en.wikipedia.org/wiki/Syrian_civil_war,,3749348.0
2014,Ongoing,Yemeni civil war (2014–present)\n,Supreme Political Council\n(formerly SRC)\nHouthis\nGPC (pro-Houthi)\nSaleh loyalists (until 2017)\nPro-Houthi Popular\nCommittees[410]\nSanaa-GPC forces[411],Repub\n(internation\nPLC since\nYe\nRe\nGP\nSTC (2\npresent\nNation\npresent,"Yemeni crisis, the Arab Winter, the war on terror, and\nthe Iran–Saudi Arabia proxy conflict",https://en.wikipedia.org/wiki/Yemeni_civil_war_(2014%E2%80%93present),https://en.wikipedia.org/wiki/Yemeni_crisis,1565185.0
2006,Ongoing,Mexican drug war\n,Mexico\nArmed Forces\nNational Guard\n(2019–present)\nFederal Police\n(2006–2019)\nState and municipal police\nforces\nConsulting and training\nsupport:\nUnited States\nMérida Initiative\nColombia\nNational Police of Colombia\nAustralia\nAustralian Federal Police\nCanada\nRCMP ACCBP,Principal Mexican cartels:\nGulf Cartel\nLos Metros\nLos Rojos\nSinaloa Cartel\nLos Chapitos\nLa Mayiza\nCJNG\nLNFM\nLos Viagras\nNortheast Cartel\nLos Zetas\nUnited Cartels\nOther cartels:\nLFM\nCSRL\nJuárez Cartel,war on drugs,https://en.wikipedia.org/wiki/Mexican_drug_war,https://en.wikipedia.org/wiki/War_on_drugs,1435003.0
2008,2008,Russo-Georgian War\n,Russia\nSouth Ossetia[note 1]\nAbkhazia[note 2],Georgia,"post–Cold War era, Abkhazia conflict, the\nGeorgian–Ossetian conflict, and the post-Soviet\nconflicts",https://en.wikipedia.org/wiki/Russo-Georgian_War,https://en.wikipedia.org/wiki/Post%E2%80%93Cold_War_era,923080.0
2012,Ongoing,Mali War\n,Mali\nRussia (2021–)\nAfrica Corps[177]\nFrance (2013–22)\nSupported by:\nECOWAS\nBenin[178]\nBurkina Faso (until\n2025)[179]\nCape Verde[180]\nGambia[180]\nGhana[181]\nGuinea[182]\nGuinea-Bissau[180]\nIvory Coast[182]\nLiberia[183]\nNiger (until 2025)[184]\nNigeria[185]\nSierra Leone[186]\nSenegal[185]\nTogo[178]\nBurkina Faso (2025–)\nNiger (2025–),CSP-PSD (\nCo\nMovem\n[174] (20\nGA\n(2023–2\nAzawa\nSupporte\nUkrai\nAl-Qae\nAQ\nAn\nAl-\nJa\nMuslim\nBoko H\nMOJW\nAnsar\nM\n(2012–1\nIslamic\nSah,Islamist insurgency in the Sahel and the war on\nterror,https://en.wikipedia.org/wiki/Mali_War,https://en.wikipedia.org/wiki/Islamist_insurgency_in_the_Sahel,785056.0
2014,Ongoing,War against the Islamic State\n,"In multiple regions:\nCJTF–OIR\nIMCTC\nIn Iraq\nIraq\nIraqi Kurdistan\nUnited States\nIran[400]\nIn Syria\nBa'athist Syria (2011–2024)\nRussia\nIran\nSyrian transitional\ngovernment (since 2024)\nTurkey[401]\nSyrian Salvation\nGovernment (2017–2024)\nSyrian Interim Government\n(2013–2025)\nAutonomous Administration\nof North and East Syria (2015–\npresent)\nUnited States\nIn the Levant\nEgypt (See: Sinai insurgency)\nIsrael[402]\nHamas\nIn Libya\nLibya\nGovernment of National\nAccord\nHouse of Representatives\nEgypt\nFrance\nUnited States\nIn Afghanistan\nIslamic Republic of\nAfghanistan\nIslamic Emirate of\nAfghanistan (Taliban, conflict\nsince 2015)[403][404]\nIn West Africa\nMultinational Joint Task\nForce",Islamic\nWil\n(in Liby\nWil\n(in the S\nISW\n(West A\nIS-\n(Sahel)\nIS-\n(Centra\nAns\n(in Moz\nWil\n(in Afgh\nWil\n(in the N\nAbu\n(in Sout\nWil\n(in Som,"war on terror, the Second Libyan Civil War, the War\nin Iraq (2013–2017), the Syrian civil war and its spillover, the\nSinai insurgency, the Boko Haram insurgency, the insurgency in\nthe North Caucasus, the Moro conflict, the insurgency in Cabo\nDelgado, the Islamic State insurgency in Puntland the Sahel\nWar and the Salafi-jihadist insurgency in the Gaza Strip",https://en.wikipedia.org/wiki/War_against_the_Islamic_State,https://en.wikipedia.org/wiki/War_on_terror,499572.0
2006,2006,2006 Lebanon War\n,Israel,Hezbollah\nAllies:\nAmal\nPopular Guard\nPFLP-GC\nIran (Ynet report)\nICU (U.N. report),"Israeli–Lebanese conflict, the Iran–Israel\nproxy conflict and the war on terror",https://en.wikipedia.org/wiki/2006_Lebanon_War,https://en.wikipedia.org/wiki/Israeli%E2%80%93Lebanese_conflict,497824.0
2009,Ongoing,Boko Haram insurgency\n,Nigeria\nMultinational Joint Task\nForce[3][4][5][6]\nLocal militias and\nvigilantes[7][8][9][10] [11]\nForeign mercenaries[12][13]\nSultan Murad\nDivision (from\n2024)[14][15]\nSupported by:\nUnited States[16][17]\nRussia[18]\nChina[19]\nFrance[19]\nUnited Kingdom[19][20]\nAfrican Union[21][22]\nTurkey[23][24]\nPakistan[25][26]\nCanada[27]\nEgypt[28][29]\nIsrael[30]\nEuropean Union[31]\nColombia[32][33]\nBelarus[34],"Boko Haram (2009-2015)\nAnsaru (2009-2012)\nIslamic State\nBoko Haram (2015-2016)\nISWAP (2016–present,\noriginally Barnawi faction of Boko\nHaram)[35][36]\nISSP\nLakurawa (2016–\npresent)[37]\nal-Qaeda[38]\nAnsaru (2012–present)[ab]\nSupported by:\nAl-Shabaab[43]\nAQIM[44][45]\nBoko Haram (2016–\npresent)[ac]\nShekau faction[49][50]\nSeveral minor factions[46]","religious violence in Nigeria, the war against\nthe Islamic State, the Islamist insurgency in the Sahel,\nand the war on terror[2]",https://en.wikipedia.org/wiki/Boko_Haram_insurgency,https://en.wikipedia.org/wiki/Religious_violence_in_Nigeria,486156.0
2016,Ongoing,Philippine drug war\n,"Philippine\ngovernment\nPhilippine National Police\nInter-Agency Committee\non Anti-Illegal Drugs\nPhilippine Drug\nEnforcement Agency\nNational Bureau of\nInvestigation\nArmed Forces of the\nPhilippines\nBureau of Customs\nDepartment of Justice\nAnti-Money Laundering\nCouncil\nPhilippine Coast Guard\nNon-state participants,\narmed organizations:\nCPP-NPA[460]\n(until August 2016[note 4])\nMILF[462]\nVigilantes[463]\nDavao Death Squad\nHired hitmen\nForeign support:[note 5]\nChina\n(intelligence and financial\nsupport)[464][465]\nSingapore\n(intelligence support)[466]\nUnited States\n(financial support)[467][464]",Philippin\ngangs:\nKuraton\nWaray-W\nBahala\nSigue S\nForeign d\nSin\nChinese\nColomb\n(alleged\nJihadist\ngroups:\nAbu\nNinja c\nengaged\nSuspecte,"Civil conflict in the Philippines, Cross border attacks\nin Sabah, spillovers of the Colombian Conflict and Mexican\ndrug war and of the Insurgency in south Thailand and War\nagainst Islamic State",https://en.wikipedia.org/wiki/Philippine_drug_war,https://en.wikipedia.org/wiki/Civil_conflict_in_the_Philippines,451505.0
2017,2017,Siege of Marawi\n,Philippines,Islamic,Moro conflict and the war against the Islamic State,https://en.wikipedia.org/wiki/Siege_of_Marawi,https://en.wikipedia.org/wiki/Moro_conflict,439062.0
2026.0,2026,2026 Iran war,Israel\nUnited States\nBahrain\nKuwait\nOman\nQatar\nUnited Arab Emirates\nJordan\nSaudi Arabia\nIraq\nAkrotiri and Dhekelia,Iran\nPopular Mobilization\nForces\nHezbollah\nHouthis,,https://en.wikipedia.org/wiki/2026_Iran_war,,15098689.0
